SampleID	Haplogroup
YLD19918-1-A112	A+152+16362
YLD19918-1-A014	A+152+16362+16189
YLD19918-1-A066	A15a
YLD19918-1-A097	A15a
YLD19918-1-A005	A25
YLD19918-1-A134	A5a
YLD19918-1-A002	A6
YLD19918-1-A032	B4a1c2
YLD19918-1-A075	B4c1b2a
YLD19918-1-A135	B4c1b2c1
YLD19918-1-A059	B4c2c
YLD19918-1-A026	B4d2
YLD19918-1-A132	B5a1b1
YLD19918-1-A003	B5a2a2
YLD19918-1-A056	C4a1a
YLD19918-1-A024	C4a1a+195
YLD19918-1-A007	C4d
YLD19918-1-A077	C7
YLD19918-1-A099	C7
YLD19918-1-A133	C7a
YLD19918-1-A144	C7a
YLD19918-1-A040	C7a1
YLD19918-1-A070	C7a1
YLD19918-1-A101	C7b
YLD19918-1-A020	D4
YLD19918-1-A047	D4
YLD19918-1-A109	D4
YLD19918-1-A092	D4+195
YLD19918-1-A120	D4a
YLD19918-1-A090	D4b2b
YLD19918-1-A122	D4b2b2
YLD19918-1-A030	D4e1
YLD19918-1-A126	D4e1
YLD19918-1-A067	D4g2a1
YLD19918-1-A114	D4h1c
YLD19918-1-A034	D4i
YLD19918-1-A050	D4i
YLD19918-1-A021	D4j1a1
YLD19918-1-A078	D4j1b
YLD19918-1-A110	D4j7
YLD19918-1-A104	D4l2
YLD19918-1-A022	D4t
YLD19918-1-A115	D5a2a
YLD19918-1-A117	D5a2a+16092
YLD19918-1-A089	D5a3
YLD19918-1-A023	D5b1
YLD19918-1-A131	D5b1b
YLD19918-1-A011	D5b1b2
YLD19918-1-A029	D5b1c1a
YLD19918-1-A012	D5c+16311
YLD19918-1-A093	D5c+16311
YLD19918-1-A046	F1a1
YLD19918-1-A124	F1a1
YLD19918-1-A136	F1a1
YLD19918-1-A035	F1a1a
YLD19918-1-A039	F1a1a
YLD19918-1-A103	F1a1b
YLD19918-1-A143	F1a1c
YLD19918-1-A008	F1a2a
YLD19918-1-A095	F1b1e
YLD19918-1-A100	F1d
YLD19918-1-A037	F2b
YLD19918-1-A087	F2c2
YLD19918-1-A118	F2e
YLD19918-1-A139	F4a1
YLD19918-1-A048	F4a2
YLD19918-1-A137	G1a1
YLD19918-1-A094	G1c1
YLD19918-1-A108	G2a1
YLD19918-1-A057	G2a4
YLD19918-1-A141	G2b1a
YLD19918-1-A107	G2b2
YLD19918-1-A006	G3a1'2
YLD19918-1-A081	HV6
YLD19918-1-A121	M11a
YLD19918-1-A128	M7b1a1a1
YLD19918-1-A151	M7b1a1a1
YLD19918-1-A119	M7c1
YLD19918-1-A085	M7c1a
YLD19918-1-A051	M7c1a1a
YLD19918-1-A113	M7c1b2b
YLD19918-1-A049	M8a2b
YLD19918-1-A091	N9a1
