Group	n_samples
Han	7581
Malagasy	2851
Italian	2186
Russ	761
Uygur	751
Zang	525
Papuan	494
Indigenous_Papuans	453
Iranian	355
Ni-Vanuatu	320
Tajik	310
Mongol	306
Dane	285
Japanese	247
Finnish	246
Khon_Mueang	246
Khmer	245
Polish	228
Miao	220
Native_American	215
Central_Thai	210
Kinh	191
Umbrians	191
Lue	190
Sherpa	165
Mon	160
Li	152
Caucasian	147
Karen	125
Kyrgyz	125
Phuan	125
Peruvian	124
Dai	122
Pakistani	120
Yemeni	113
Lao_Isan	100
Druze	94
Lhoba	92
Deng	91
Lahu	90
Cham	89
Lao	85
Jenu	79
Czech	78
Koryak	78
Buryat	77
Thai	77
Indian	75
Mishar	71
Lawa	70
Australian	65
Cambodian	65
Yakut	63
Paiwan	62
German	61
Chadian	60
IuMien	60
Libyan	60
Moroccan	60
Bamar	57
Serbs	56
Ami	55
Chukchi	55
Phutai	55
French	54
Kamar	53
Mnong	53
Todzhi	53
Bunun	52
Ewenki	52
Shan	52
Jalayir	51
Palestinian	51
Tsou	51
Atayal	50
BlackTai	50
Blang	50
Makatao	50
Rukai	50
Algerian	49
Dong	49
Monpa	49
Vietnamese	49
Hungarian	48
Kazak	47
Coho	46
Nivkh	46
Hakka	45
Tao	45
Bedouin	44
Churu	44
Yao	44
Dongri	43
Gende	43
Manobos	43
Portuguese	42
Yuan	42
Foulbe	41
Belarusian	39
Gallong	39
Mamanwas	39
Puyuma	39
Giarai	37
Huli	37
Malaysian	37
Mang	37
Moken	37
Nung	37
Raglay	37
Bana	36
Lachi	36
Lolo	36
PaThen	36
Arab	35
British	35
Mosuo	35
PhuLa	35
Tharu	35
Gelao	34
Kathodi	34
Tunisian	34
Hani	33
Bhuiya	32
Shapirashti	32
Sila	31
Betta	30
Cao	30
Hre	30
Jarai	30
Ket	30
Munda	30
Nihal	30
Surigaonon	30
Lisu	29
Southern_Thai	29
Mozabite	28
Tofalar	28
Toto	28
Moklen	27
Ma	26
Saek	26
Kalueng	25
Khamu	25
Lachungpa	25
Nyaw	25
Paluang	25
Suay	25
Biaka	24
Bru	24
Ede	24
Saisiat	24
Sardinian	24
Brahui	23
Greek	23
Indonesian	23
Makrani	23
Man	23
Nyahkur	23
Balochi	22
Basque	22
Burkinabe	22
Burusho	22
Pathan	22
Sindhi	22
Soa	22
Wancho	22
Kalash	21
Nepali	21
Lepcha	20
Madia	20
