ID	Group	Population_Count
HG00174	Finnish	246.0
HG00179	Finnish	246.0
HG00181	Finnish	246.0
HG00182	Finnish	246.0
HG00186	Finnish	246.0
HG00187	Finnish	246.0
HG00268	Finnish	246.0
HG00269	Finnish	246.0
HG00271	Finnish	246.0
HG00275	Finnish	246.0
HG00276	Finnish	246.0
HG00282	Finnish	246.0
HG00288	Finnish	246.0
HG00290	Finnish	246.0
HG00308	Finnish	246.0
HG00310	Finnish	246.0
HG00315	Finnish	246.0
HG00319	Finnish	246.0
HG00321	Finnish	246.0
HG00326	Finnish	246.0
HG00327	Finnish	246.0
HG00334	Finnish	246.0
HG00338	Finnish	246.0
HG00339	Finnish	246.0
HG00341	Finnish	246.0
HG00345	Finnish	246.0
HG00346	Finnish	246.0
HG00353	Finnish	246.0
HG00357	Finnish	246.0
HG00358	Finnish	246.0
HG00360	Finnish	246.0
HG00364	Finnish	246.0
HG00365	Finnish	246.0
HG00369	Finnish	246.0
HG00371	Finnish	246.0
HG00372	Finnish	246.0
HG00376	Finnish	246.0
HG00383	Finnish	246.0
HG00384	Finnish	246.0
MF523154	Kyrgyz	125.0
MF523155	Kyrgyz	125.0
MF523156	Kyrgyz	125.0
MF522909	Kyrgyz	125.0
MF522910	Kyrgyz	125.0
MF522911	Kyrgyz	125.0
MF522912	Kyrgyz	125.0
MF522913	Kyrgyz	125.0
MF522914	Kyrgyz	125.0
MF522915	Kyrgyz	125.0
MF522916	Kyrgyz	125.0
MF522917	Kyrgyz	125.0
MF522918	Kyrgyz	125.0
MF522919	Kyrgyz	125.0
MF522920	Kyrgyz	125.0
MF522921	Kyrgyz	125.0
MF522922	Kyrgyz	125.0
MF522923	Kyrgyz	125.0
MF522924	Kyrgyz	125.0
MF522925	Kyrgyz	125.0
MF522926	Kyrgyz	125.0
MF522927	Kyrgyz	125.0
MF522928	Kyrgyz	125.0
MF522929	Kyrgyz	125.0
MF522930	Kyrgyz	125.0
MF522931	Kyrgyz	125.0
MF522932	Kyrgyz	125.0
MF522933	Kyrgyz	125.0
MF522934	Kyrgyz	125.0
MF522935	Kyrgyz	125.0
MF522936	Kyrgyz	125.0
MF522937	Kyrgyz	125.0
MF522938	Kyrgyz	125.0
MF522939	Kyrgyz	125.0
MF522940	Kyrgyz	125.0
MF522941	Kyrgyz	125.0
MF522942	Kyrgyz	125.0
MF522943	Kyrgyz	125.0
MF522944	Kyrgyz	125.0
MF522945	Kyrgyz	125.0
MF522946	Kyrgyz	125.0
MF522947	Kyrgyz	125.0
MF522948	Kyrgyz	125.0
MF522949	Kyrgyz	125.0
MF522950	Kyrgyz	125.0
MF522951	Kyrgyz	125.0
MF522952	Kyrgyz	125.0
MF522953	Kyrgyz	125.0
MF522954	Kyrgyz	125.0
MF522955	Kyrgyz	125.0
MF522956	Kyrgyz	125.0
MF522957	Kyrgyz	125.0
MF522958	Kyrgyz	125.0
MF522959	Kyrgyz	125.0
MF522960	Kyrgyz	125.0
MF522961	Kyrgyz	125.0
MF522962	Kyrgyz	125.0
MF522841	Kyrgyz	125.0
MF522842	Kyrgyz	125.0
MF522843	Kyrgyz	125.0
MF522844	Kyrgyz	125.0
MF522845	Kyrgyz	125.0
MF522846	Kyrgyz	125.0
MF522847	Kyrgyz	125.0
MF522848	Kyrgyz	125.0
MF522849	Kyrgyz	125.0
MF522850	Kyrgyz	125.0
MF522851	Kyrgyz	125.0
MF522852	Kyrgyz	125.0
MF522853	Kyrgyz	125.0
MF522854	Kyrgyz	125.0
MF522855	Kyrgyz	125.0
MF522856	Kyrgyz	125.0
MF522857	Kyrgyz	125.0
MF522858	Kyrgyz	125.0
MF522859	Kyrgyz	125.0
MF522860	Kyrgyz	125.0
MF522861	Kyrgyz	125.0
MF522862	Kyrgyz	125.0
MF522863	Kyrgyz	125.0
MF522864	Kyrgyz	125.0
MF522865	Kyrgyz	125.0
MF522866	Kyrgyz	125.0
MF522867	Kyrgyz	125.0
MF522868	Kyrgyz	125.0
MF522869	Kyrgyz	125.0
MF522870	Kyrgyz	125.0
MF522871	Kyrgyz	125.0
MF522872	Kyrgyz	125.0
MF522873	Kyrgyz	125.0
MF522874	Kyrgyz	125.0
MF522875	Kyrgyz	125.0
MF522876	Kyrgyz	125.0
MF522877	Kyrgyz	125.0
MF522878	Kyrgyz	125.0
MF522879	Kyrgyz	125.0
MF522880	Kyrgyz	125.0
MF522881	Kyrgyz	125.0
MF522882	Kyrgyz	125.0
MF522883	Kyrgyz	125.0
MF522884	Kyrgyz	125.0
MF522885	Kyrgyz	125.0
MF522886	Kyrgyz	125.0
MF522887	Kyrgyz	125.0
MF522888	Kyrgyz	125.0
MF522889	Kyrgyz	125.0
MF522890	Kyrgyz	125.0
MF522891	Kyrgyz	125.0
MF522892	Kyrgyz	125.0
MF522893	Kyrgyz	125.0
MF522894	Kyrgyz	125.0
MF522895	Kyrgyz	125.0
