ID	QC_Other	QC_Haplogrep	Latitude	Longitude	Population	City	Province	Country	Language	Continent	Sequence_method	Source
YHC01495	YES	0.8737	33.96	116.8	Han	Huaibei	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05616	YES	0.9165	33.65	116.96	Han	Suzhou	Anhui	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01364	YES	0.8374	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03206	YES	0.8818	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02372	YES	0.8071	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06695	YES	0.8929	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06898	YES	0.9175	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05396	YES	0.8441	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05263	YES	0.9303	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03228	YES	0.9125	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00342	YES	0.8548	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01809	YES	0.8334	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03329	YES	0.7876	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04821	YES	0.7865	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02405	YES	0.8623	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03425	YES	0.8535	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07503	YES	0.9176	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03661	YES	0.9107	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07533	YES	0.8666	39.9	116.41	Han	Beijing	Beijing	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05968	YES	0.7947	26.07	119.3	Han	Fuzhou	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03668	YES	0.9064	26.07	119.3	Han	Fuzhou	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04563	YES	0.8922	26.26	117.64	Han	Sanming	Fujian	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04451	YES	0.8885	36.55	104.14	Han	Baiyin	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04306	YES	0.8796	39.73	98.49	Han	Jiuquan	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03604	YES	0.8921	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07149	YES	0.9193	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01361	YES	0.787	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05461	YES	0.9083	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00158	YES	0.8921	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00657	YES	0.7717	36.06	103.83	Han	Lanzhou	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06692	YES	0.9278	35.54	106.66	Han	Pingliang	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02330	YES	0.9133	34.58	105.72	Han	Tianshui	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06766	YES	0.876	37.93	102.64	Han	Wuwei	Gansu	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06113	YES	0.947	23.13	113.26	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04838	YES	0.7423	23.13	113.26	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04045	YES	0.7826	23.13	113.26	Han	Guangzhou	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04232	YES	0.8754	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05648	YES	0.8671	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01557	YES	0.9374	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00144	YES	0.8853	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04993	YES	0.9193	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07446	YES	0.8378	22.54	114.06	Han	Shenzhen	Guangdong	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05791	YES	0.9213	26.65	106.63	Han	Guiyang	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06595	YES	0.9444	26.65	106.63	Han	Guiyang	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05764	YES	0.8923	26.65	106.63	Han	Guiyang	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03340	YES	0.7691	26.65	106.63	Han	Guiyang	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06408	YES	0.8657	26.59	104.83	Han	Liupanshui	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06238	YES	0.8404	25.09	104.9	Han	Xingyi	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04913	YES	0.9271	27.72	107.03	Han	Zunyi	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01984	YES	0.8738	27.72	107.03	Han	Zunyi	Guizhou	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01418	YES	0.8736	20.05	110.2	Han	Haikou	Hainan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03090	YES	0.8292	20.05	110.2	Han	Haikou	Hainan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05970	YES	0.9196	20.05	110.2	Han	Haikou	Hainan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05800	YES	0.9174	38.87	115.46	Han	Baoding	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03561	YES	0.8587	38.52	114.99	Han	Dingzhou	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04593	YES	0.898	36.63	114.54	Han	Handan	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06302	YES	0.8463	39.89	119.52	Han	Qinhuangdao	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04672	YES	0.9257	38.69	116.08	Han	Renqiu	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05811	YES	0.9068	38.04	114.51	Han	Shijiazhuang	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03445	YES	0.8621	38.04	114.51	Han	Shijiazhuang	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02187	YES	0.8589	38.04	114.51	Han	Shijiazhuang	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00016	YES	0.8883	38.34	114.68	Han	Xinle	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05394	YES	0.9361	39.49	115.97	Han	Zhuozhou	Hebei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06713	YES	0.8973	36.1	114.39	Han	Anyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06163	YES	0.9134	36.1	114.39	Han	Anyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00882	YES	0.8996	35.46	113.81	Han	Huixian	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02247	YES	0.8801	34.8	114.31	Han	Kaifeng	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03838	YES	0.8341	34.8	114.31	Han	Kaifeng	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07908	YES	0.7868	34.62	112.45	Han	Luoyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06963	YES	0.8435	33.58	114.02	Han	Tahe	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06800	YES	0.9257	33.58	114.02	Han	Tahe	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01423	YES	0.8875	33.02	112.58	Han	Nanyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03366	YES	0.8818	33.02	112.58	Han	Nanyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00983	YES	0.8793	33.02	112.58	Han	Nanyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03631	YES	0.8457	33.77	113.19	Han	Pingdingshan	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05310	YES	0.9029	34.17	112.86	Han	Ruzhou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03842	YES	0.8771	34.17	112.86	Han	Ruzhou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07526	YES	0.8576	34.17	112.86	Han	Ruzhou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00905	YES	0.8658	33.47	114.88	Han	Xiangcheng	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03110	YES	0.9116	35.3	113.93	Han	Xinxiang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00375	YES	0.9264	32.15	114.09	Han	Xinyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC07119	YES	0.9016	32.15	114.09	Han	Xinyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03088	YES	0.9189	32.15	114.09	Han	Xinyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05641	YES	0.8475	32.15	114.09	Han	Xinyang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03774	YES	0.8912	34.04	113.85	Han	Xuchang	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03354	YES	0.9066	33.93	116.45	Han	Yongcheng	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04782	YES	0.7909	34.2	113.81	Han	Changge	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02620	YES	0.9399	33.63	114.7	Han	Zhoukou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05349	YES	0.8495	33.63	114.7	Han	Zhoukou	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06980	YES	0.8573	33.01	114.02	Han	Zhumadian	Henan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06701	YES	0.8511	46.59	125.1	Han	Daqing	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05320	YES	0.7793	45.8	126.54	Han	Haerbin	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06285	YES	0.8435	45.3	130.97	Han	Jixi	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03640	YES	0.8686	45.53	131.85	Han	Mishan	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02153	YES	0.9021	47.73	128.84	Han	Yichun	Heilongjiang	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02434	YES	0.9191	31.26	113.69	Han	Anlu	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06417	YES	0.8929	32.54	111.51	Han	Danjiangkou	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06522	YES	0.9001	30.27	109.49	Han	Enshi	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00918	YES	0.9029	31.04	112.2	Han	Jingmen	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00384	YES	0.8979	30.29	108.94	Han	Lichuan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00975	YES	0.9242	30.29	108.94	Han	Lichuan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03792	YES	0.8734	30.4	112.9	Han	Qianjiang	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03912	YES	0.8865	32.63	110.8	Han	Shiyan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03023	YES	0.8501	30.66	113.17	Han	Tianmen	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04058	YES	0.8868	30.59	114.3	Han	Wuhan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00581	YES	0.9269	30.59	114.3	Han	Wuhan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02507	YES	0.8816	30.59	114.3	Tujia	Wuhan	Hubei	China	Tibeto_Burman	East_Asia	WHOLE	LLT_WHALE
YHC03934	YES	0.9539	30.59	114.3	Han	Wuhan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00091	YES	0.8719	30.59	114.3	Han	Wuhan	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC00334	YES	0.8401	31.17	112.59	Han	Zhongxiang	Hubei	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06184	YES	0.8273	26.89	112.63	Han	Hengyang	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03118	YES	0.8916	29.48	113.45	Han	Linxiang	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06761	YES	0.7476	26.42	111.61	Han	Yongzhou	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02006	YES	0.818	29.36	113.13	Han	Yueyang	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03468	YES	0.861	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC04635	YES	0.9043	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC06274	YES	0.8323	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC05288	YES	0.9011	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC02310	YES	0.8815	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03285	YES	0.8757	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC01641	YES	0.9227	28.23	112.94	Tujia	Changsha	Hunan	China	Tibeto_Burman	East_Asia	WHOLE	LLT_WHALE
YHC05570	YES	0.8394	28.23	112.94	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
YHC03491	YES	0.8448	28.25	113.08	Han	Changsha	Hunan	China	Sinitic	East_Asia	WHOLE	LLT_WHALE
