group	n_samples	n_sites_used	n_variant_sites	n_segregating_sites	missing_rate_mean	heterozygous_calls_masked_global	pi	theta_w	tajima_d	haplotype_diversity
Algerian	49	16569	17474	406	0.0	0	0.002591048489401796	0.005495229159129397	-1.9277197560209454	0.9923469387755103
Ami	55	16569	17474	221	5.202534674893608e-06	0	0.002001832852768278	0.002914994988649322	-1.1198349182833558	0.9804713804713806
Arab	35	16569	17474	368	0.0	0	0.0023134854424570065	0.005392831146525243	-2.1736469291364178	1.0
Atayal	50	16569	17474	170	0.0	0	0.0021080635030113434	0.0022904743932947213	-0.28669649285835935	0.9575510204081633
Australian	65	16569	17473	439	5.722788142382969e-05	0	0.0024075019729817558	0.005584796063951567	-2.0113832353423837	0.9966346153846153
Balochi	22	16569	17474	210	0.0	0	0.002260905459457059	0.00347661433707333	-1.4266233363763237	0.9956709956709956
Bamar	57	16569	17474	580	5.421588766468076e-05	0	0.002166777837774884	0.0075904261328771485	-2.567402443638168	0.9993734335839599
Bana	36	16569	17473	233	5.722788142382969e-05	0	0.002495234263490148	0.0033909568916010765	-0.997188781146695	0.9920634920634921
Basque	22	16569	17474	176	0.0	0	0.0017389168867744606	0.002913733920594791	-1.6415492246877161	1.0
Bedouin	44	16569	17474	512	0.0	0	0.003273191700020797	0.007103270171918534	-1.9959374432004475	0.9978858350951374
Belarusian	39	16569	17473	284	5.722788142382969e-05	0	0.001983162260137136	0.004053880273432668	-1.911539767006169	0.9986504723346828
Betta	30	16569	17474	63	0.0	0	0.0012923230599546332	0.0009597133155203222	1.304894032973148	0.8068965517241379
Bhuiya	32	16569	17474	213	0.0	0	0.0018192613935016646	0.003191898134696238	-1.6493749515940386	0.9899193548387096
Biaka	24	16569	17474	169	0.0	0	0.0029892944294298233	0.002731215565066894	0.37849919476848576	0.996376811594203
BlackTai	50	16569	17473	294	5.722788142382969e-05	0	0.002266697868042812	0.003961173362521459	-1.551970989214732	0.9722448979591837
Blang	50	16569	17473	277	5.722788142382969e-05	0	0.002308228541869373	0.003732125923191987	-1.383275077442497	0.9902040816326532
Brahui	23	16569	17474	183	0.0	0	0.002029239947426298	0.002992309492055066	-1.3003758039051414	0.9762845849802372
British	35	16569	17474	235	0.0	0	0.0016218436680646914	0.003443791628895196	-2.0053434700553305	0.9983193277310924
Bru	24	16569	17473	148	5.722788142382969e-05	0	0.0021384901996798827	0.002391833749289351	-0.42344174708829924	0.9347826086956522
Bunun	52	16569	17474	211	2.201072362454988e-06	0	0.0018579708007802722	0.002817964774280652	-1.22500499847143	0.9781297134238311
Burkinabe	22	16569	17474	339	0.0	0	0.003994597235393855	0.005612248858418375	-1.180792270113949	1.0
Burusho	22	16569	17474	245	0.0	0	0.0024996930247382873	0.004056050059918884	-1.5678775239350948	0.9913419913419913
Buryat	77	16569	17473	509	5.722788142382969e-05	0	0.00221789454708808	0.006250499708874182	-2.244025352766533	0.9982911825017089
Cambodian	65	16569	17474	387	5.018444986397373e-05	0	0.0023592219488417438	0.004923271245442498	-1.839328385655325	0.9923076923076922
