,Bai,Han,Hui,Man,Miao,Mongol,Qiang,Tujia,Yi,Zang
Bai,0.0,0.0002598724035869767,0.00022139033128044114,0.0002583178885137796,0.00025761784003542243,0.0002502991513980525,0.00025359256128486897,0.0002656683975365294,0.00027774423378818983,0.0002817695125387433
Han,0.0002598724035869767,0.0,0.00021441272872254377,0.00024791415244982724,0.0002513200774239608,0.00024008292879868374,0.0002509033830727742,0.0002607212603458449,0.00025772140056000436,0.0002776621776348326
Hui,0.00022139033128044114,0.00021441272872254377,0.0,0.00021088960410508428,0.00021915406530791145,0.00020675295400570125,0.0002119980141958164,0.00022944088878154814,0.00021132713440405747,0.00024151672503320854
Man,0.0002583178885137796,0.00024791415244982724,0.00021088960410508428,0.0,0.00024618371488892277,0.0002386528903490203,0.00024799217345801194,0.0002572678157962439,0.00024676708862088695,0.00027686917319024346
Miao,0.00025761784003542243,0.0002513200774239608,0.00021915406530791145,0.00024618371488892277,0.0,0.00023785738071452358,0.0002544870676738809,0.0002603013592024581,0.0002482255229507977,0.00027998049976071956
Mongol,0.0002502991513980525,0.00024008292879868374,0.00020675295400570125,0.0002386528903490203,0.00023785738071452358,0.0,0.00024115079060134007,0.0002459079382156305,0.00025249475798926345,0.00026786400412774034
Qiang,0.00025359256128486897,0.0002509033830727742,0.0002119980141958164,0.00024799217345801194,0.0002544870676738809,0.00024115079060134007,0.0,0.0002616431187859759,0.0002535925612848689,0.00028042775295522544
Tujia,0.0002656683975365294,0.0002607212603458449,0.00022944088878154814,0.0002572678157962439,0.0002603013592024581,0.0002459079382156305,0.0002616431187859759,0.0,0.00027774423378818983,0.0002882099585396289
Yi,0.00027774423378818983,0.00025772140056000436,0.00021132713440405747,0.00024676708862088695,0.0002482255229507977,0.00025249475798926345,0.0002535925612848689,0.00027774423378818983,0.0,0.0002857947912892968
Zang,0.0002817695125387433,0.0002776621776348326,0.00024151672503320854,0.00027686917319024346,0.00027998049976071956,0.00026786400412774034,0.00028042775295522544,0.0002882099585396289,0.0002857947912892968,0.0
