,Bai,Han,Hui,Man,Miao,Mongol,Qiang,Tujia,Yi,Zang
Bai,0.0,0.013134219914184397,0.0,0.00995400733890117,0.0,0.007317073170731719,0.0,0.0,0.07056798623063679,0.0
Han,0.013134219914184397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03656037005336555,0.0
Hui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295081,0.0
Man,0.00995400733890117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miao,0.0,0.0,0.0,0.0,0.0,0.0,0.004554326610279794,0.0,0.0,0.0
Mongol,0.007317073170731719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06264668712764043,0.0
Qiang,0.0,0.0,0.0,0.0,0.004554326610279794,0.0,0.0,0.0,0.017632241813602,0.0
Tujia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109588,0.0
Yi,0.07056798623063679,0.03656037005336555,0.01639344262295081,0.0,0.0,0.06264668712764043,0.017632241813602,0.0410958904109588,0.0,0.0
Zang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
