,Bai,Han,Hui,Man,Miao,Mongol,Qiang,Tujia,Yi,Zang
Bai,0.0,0.45454545454545453,1.0,0.6363636363636364,1.0,0.7272727272727273,1.0,1.0,0.36363636363636365,1.0
Han,0.45454545454545453,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0
Hui,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,1.0
Man,0.6363636363636364,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Miao,1.0,1.0,1.0,1.0,0.0,1.0,0.18181818181818182,1.0,1.0,1.0
Mongol,0.7272727272727273,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.36363636363636365,1.0
Qiang,1.0,1.0,1.0,1.0,0.18181818181818182,1.0,0.0,1.0,0.6363636363636364,1.0
Tujia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5454545454545454,1.0
Yi,0.36363636363636365,0.36363636363636365,0.7272727272727273,1.0,1.0,0.36363636363636365,0.6363636363636364,0.5454545454545454,0.0,1.0
Zang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
