pop1,pop2,metric,diff,ci_low,ci_high,p_value
Bai,Han,pi,-1.4284059882290601e-05,-0.00013041438454027758,8.626856206031833e-05,0.9090909090909091
Bai,Hui,pi,6.0501159402258316e-05,-5.27159586970948e-05,0.00011885416207225207,0.5454545454545454
Bai,Man,pi,-7.000484783571312e-06,-0.00015181432814494194,0.0001012103405390125,0.9090909090909091
Bai,Miao,pi,-3.788497647579732e-06,-0.00012300585379446872,0.00010003445789210063,1.0
Bai,Mongol,pi,1.2406919785255761e-05,-0.00010797073418763067,0.00010606701107335209,1.0
Bai,Qiang,pi,-7.032670920507217e-06,-8.503265389995385e-05,0.00013960529850419928,0.9090909090909091
Bai,Tujia,pi,-1.0734076668142601e-05,-0.0001538033313179711,9.04496673272858e-05,0.9090909090909091
Bai,Yi,pi,7.513853667699824e-05,-0.00029968588473772357,0.0003081238131663882,0.8181818181818182
Bai,Zang,pi,-6.255375713503793e-05,-0.00018421285596906335,9.232173559846288e-05,0.8181818181818182
Han,Hui,pi,7.478521928454892e-05,1.2106030382384516e-05,0.00012182451235189316,0.5454545454545454
Han,Man,pi,7.283575098719289e-06,-4.701736507836e-05,5.43974899108509e-05,0.9090909090909091
Han,Miao,pi,1.0495562234710869e-05,-2.438140810005568e-05,9.088073280946792e-05,0.8181818181818182
Han,Mongol,pi,2.6690979667546362e-05,-2.8289541227427147e-05,9.464661856437338e-05,0.5454545454545454
Han,Qiang,pi,7.251388961783384e-06,-2.632818694302591e-05,7.013524645276715e-05,0.9090909090909091
Han,Tujia,pi,3.5499832141479997e-06,-3.213290010002091e-05,5.261377116268074e-05,0.9090909090909091
Han,Yi,pi,8.942259655928884e-05,-0.00017041715736274232,0.00031404108345479883,0.8181818181818182
Han,Zang,pi,-4.826969725274733e-05,-0.00010853408254340877,1.9356257919967924e-05,0.5454545454545454
Hui,Man,pi,-6.750164418582963e-05,-0.00014378177134385142,2.5166445375587948e-05,0.6363636363636364
Hui,Miao,pi,-6.428965704983805e-05,-0.00011942377811802506,6.164968827420497e-05,0.5454545454545454
Hui,Mongol,pi,-4.8094239617002554e-05,-0.0001224573438074223,5.4311893794954385e-05,0.9090909090909091
Hui,Qiang,pi,-6.753383032276553e-05,-0.00011209644214570322,3.469686904676945e-05,0.36363636363636365
Hui,Tujia,pi,-7.123523607040092e-05,-0.00013887821580129274,-1.4078161737314601e-05,0.45454545454545453
Hui,Yi,pi,1.463737727473992e-05,-0.00026906945274861104,0.0002585795145732341,1.0
Hui,Zang,pi,-0.00012305491653729624,-0.00017258974166148425,-8.958109922587483e-06,0.6363636363636364
Man,Miao,pi,3.2119871359915803e-06,-3.7491754690719834e-05,6.702462442759603e-05,1.0
Man,Mongol,pi,1.9407404568827074e-05,-8.085559925024801e-05,0.0001355117193901649,0.8181818181818182
Man,Qiang,pi,-3.2186136935904476e-08,-7.82304174564088e-05,0.00011277372964508308,1.0
Man,Tujia,pi,-3.733591884571289e-06,-5.142603090660491e-05,5.592705987494759e-05,1.0
Man,Yi,pi,8.213902146056955e-05,-0.00016350775828199377,0.00034826820198327797,0.8181818181818182
Man,Zang,pi,-5.555327235146662e-05,-0.00012578030276302332,6.245911329303769e-06,0.2727272727272727
Miao,Mongol,pi,1.6195417432835494e-05,-0.00010945949629115197,7.27756573991717e-05,0.7272727272727273
Miao,Qiang,pi,-3.244173272927485e-06,-0.00011240788228506388,8.406192684309589e-05,0.9090909090909091
Miao,Tujia,pi,-6.945579020562869e-06,-9.327383667157065e-05,6.360081988343209e-05,0.9090909090909091
Miao,Yi,pi,7.892703432457797e-05,-0.00020166953796538982,0.00028639915816961885,0.7272727272727273
Miao,Zang,pi,-5.87652594874582e-05,-0.00016762810852798907,4.373766602002361e-05,0.7272727272727273
Mongol,Qiang,pi,-1.9439590705762978e-05,-4.646538709451468e-05,5.246625149021731e-05,0.9090909090909091
Mongol,Tujia,pi,-2.3140996453398363e-05,-0.00012083252617101279,7.395709122553706e-05,0.8181818181818182
Mongol,Yi,pi,6.273161689174247e-05,-0.0002014596565161575,0.0002353166812505064,0.7272727272727273
Mongol,Zang,pi,-7.496067692029369e-05,-0.00019010762954570996,1.9010275626507243e-05,0.45454545454545453
Qiang,Tujia,pi,-3.7014057476353844e-06,-8.871298629823198e-05,4.76833595439127e-05,1.0
Qiang,Yi,pi,8.217120759750545e-05,-0.00022419488428605987,0.0002530415495422567,0.6363636363636364
Qiang,Zang,pi,-5.552108621453071e-05,-0.00015482083223138728,-4.4416868971629187e-07,0.6363636363636364
Tujia,Yi,pi,8.587261334514084e-05,-0.00015471454385774345,0.0003251001469492925,0.7272727272727273
Tujia,Zang,pi,-5.181968046689533e-05,-9.369432161111404e-05,1.6363071773169557e-05,0.6363636363636364
Yi,Zang,pi,-0.00013769229381203617,-0.0003943752503239896,0.00011666418415029651,0.36363636363636365
