,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jilin,Liaoning,Ningxia,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Yunnan,Zhejiang
Anhui,0.0,0.0,0.0,0.013157894736842144,0.0,0.0,0.0,0.0454545454545455,0.0,0.0,0.014930612435936517,0.030167425352982013,0.0,0.03548007398688418,0.0,0.0,0.27472527472527475,0.11590727418065544,0.014618973561430739,0.05398457583547561,0.0736342042755344,0.006036634704538052,0.0,0.0,0.0,0.045871559633027546
Beijing,0.0,0.0,0.0,0.11054940495855065,0.002329710228467844,0.0,0.02241398085668044,0.0,0.010807960602771515,0.0,0.0,0.0,0.006831539125719876,0.019719232529720816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongqing,0.0,0.0,0.0,0.10557219007678478,0.0,0.0,0.028652554411508206,0.039440698315374494,0.0022111124031446274,0.006340824566405886,0.0,0.0,0.002993165757451218,0.0,0.05115361470661084,0.0,0.0,0.0,0.0008207740911976351,0.0,0.0,0.0,0.0,0.0017257886049558734,0.0,0.05520123002514424
Fujian,0.013157894736842144,0.11054940495855065,0.10557219007678478,0.0,0.07366950336593424,0.16729424421732111,0.012443697992213123,0.22222222222222224,0.04864454015708136,0.031502212965373595,0.1310369459105521,0.16297935103244834,0.023489111817959415,0.10577728160759144,0.19512195121951226,0.0,0.3571428571428571,0.24166666666666672,0.1321096173733195,0.14908158906450233,0.2333557498318763,0.12548995771417626,0.08771929824561403,0.04545454545454549,0.10176991150442481,0.2214765100671141
Gansu,0.0,0.002329710228467844,0.0,0.07366950336593424,0.0,0.0,0.009597056239744068,0.06628940986257073,0.0,0.0,0.0,0.0,0.0,0.0,0.07285200914733753,0.0,0.06526462827875212,0.011115348378123726,0.0032656154629586453,0.0,0.0,0.003564264205586158,0.0,0.0,0.014246323529411757,0.07007953132716839
Guangdong,0.0,0.0,0.0,0.16729424421732111,0.0,0.0,0.02507302823758521,0.023728813559321996,0.007019740961671534,0.016642040594136424,0.0,0.0,0.0054908467693517,0.0,0.0755877034358046,0.0,0.0042553191489361035,0.0,0.0,0.0,0.0,0.0,0.0,0.04318936877076407,0.0,0.04870199527998292
Guizhou,0.0,0.02241398085668044,0.028652554411508206,0.012443697992213123,0.009597056239744068,0.02507302823758521,0.0,0.08006350646405076,0.0,0.0,0.03535224651717984,0.029468181767193506,0.0,0.0036838494956937056,0.09299740644683223,0.0,0.11678014306644827,0.05816166128898819,0.04654870711471264,0.0,0.030778582085428562,0.029382997509541316,0.0,0.0,0.0332108437911669,0.10981648703757645
Hainan,0.0454545454545455,0.0,0.039440698315374494,0.22222222222222224,0.06628940986257073,0.023728813559321996,0.08006350646405076,0.0,0.07107394826234652,0.0,0.0,0.050466744457409576,0.10197368421052634,0.17230008244023082,3.8163916471489756e-17,0.0,0.0,0.026939655172413805,0.0,0.07264296754250385,0.0,0.026662448626741806,0.04602510460251043,0.1428571428571429,0.0,0.0
Hebei,0.0,0.010807960602771515,0.0022111124031446274,0.04864454015708136,0.0,0.007019740961671534,0.0,0.07107394826234652,0.0,0.0,0.0060562702342725205,0.0,0.0,0.0,0.08976510067114085,0.0,0.09131469363474123,0.03873654104979813,0.025454968763338644,0.0,0.0012229922543823956,0.014254618898393101,0.0,0.0,0.03351360209767291,0.09653729558942832
Heilongjiang,0.0,0.0,0.006340824566405886,0.031502212965373595,0.0,0.016642040594136424,0.0,0.0,0.0,0.0,0.0,0.03271861986912547,0.014954811005143016,0.05918875711045839,0.0,0.0,0.03644893540238182,0.0,0.0,0.0,0.0,0.001143137053661137,0.0,0.0,0.0,0.0
Henan,0.014930612435936517,0.0,0.0,0.1310369459105521,0.0,0.0,0.03535224651717984,0.0,0.0060562702342725205,0.0,0.0,0.0,0.015847585890834574,0.01400870840298364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02814216331532843,0.0,0.00012128562765313156
Hubei,0.030167425352982013,0.0,0.0,0.16297935103244834,0.0,0.0,0.029468181767193506,0.050466744457409576,0.0,0.03271861986912547,0.0,0.0,0.005892214539246627,0.0,0.08188773577759263,0.0,0.01639344262295078,0.0,0.0,0.0,0.0,0.0,0.0,0.01602176541717047,0.008825526137135126,0.05335756791076359
Hunan,0.0,0.006831539125719876,0.002993165757451218,0.023489111817959415,0.0,0.0054908467693517,0.0,0.10197368421052634,0.0,0.014954811005143016,0.015847585890834574,0.005892214539246627,0.0,0.0,0.1049661399548533,0.0,0.09791694308080137,0.0463971645434179,0.03757200468146874,0.0,0.0079196504430149,0.017775226496820465,0.0,0.0,0.027096774193548376,0.11396590184831099
Jiangsu,0.03548007398688418,0.019719232529720816,0.0,0.10577728160759144,0.0,0.0,0.0036838494956937056,0.17230008244023082,0.0,0.05918875711045839,0.01400870840298364,0.0,0.0,0.0,0.193008443193601,0.0,0.17010816125860376,0.056760498384863856,0.036905721192586664,0.0,0.03448105517956824,0.005878548125153214,0.0,0.000995024875621913,0.04390243902439023,0.15727002967359052
Jilin,0.0,0.0,0.05115361470661084,0.19512195121951226,0.07285200914733753,0.0755877034358046,0.09299740644683223,3.8163916471489756e-17,0.08976510067114085,0.0,0.0,0.08188773577759263,0.1049661399548533,0.193008443193601,0.0,0.013698630136986313,0.28358208955223885,0.09270927092709266,0.009306803594351683,0.1903614457831326,0.09574468085106377,0.029911203420845068,0.055118110236220486,0.14285714285714293,0.0,0.0
Liaoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013698630136986313,0.0,0.0891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009012
Ningxia,0.27472527472527475,0.0,0.0,0.3571428571428571,0.06526462827875212,0.0042553191489361035,0.11678014306644827,0.0,0.09131469363474123,0.03644893540238182,0.0,0.01639344262295078,0.09791694308080137,0.17010816125860376,0.28358208955223885,0.0891089108910891,0.0,0.06534090909090914,0.0,0.03860160233066274,0.0,0.0,0.12426035502958578,0.30000000000000004,4.5418214643756407e-17,0.045576407506702374
Shaanxi,0.11590727418065544,0.0,0.0,0.24166666666666672,0.011115348378123726,0.0,0.05816166128898819,0.026939655172413805,0.03873654104979813,0.0,0.0,0.0,0.0463971645434179,0.056760498384863856,0.09270927092709266,0.0,0.06534090909090914,0.0,0.0,0.005817028027498714,0.0,0.0,0.0,0.13173076923076926,0.0,0.0
Shandong,0.014618973561430739,0.0,0.0008207740911976351,0.1321096173733195,0.0032656154629586453,0.0,0.04654870711471264,0.0,0.025454968763338644,0.0,0.0,0.0,0.03757200468146874,0.036905721192586664,0.009306803594351683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05524861878453032,0.0,0.009336293839116154
Shanghai,0.05398457583547561,0.0,0.0,0.14908158906450233,0.0,0.0,0.0,0.07264296754250385,0.0,0.0,0.0,0.0,0.0,0.0,0.1903614457831326,0.0,0.03860160233066274,0.005817028027498714,0.0,0.0,0.0,0.0,0.0,0.046104928457869586,0.0,0.1070448307410796
Shanxi,0.0736342042755344,0.0,0.0,0.2333557498318763,0.0,0.0,0.030778582085428562,0.0,0.0012229922543823956,0.0,0.0,0.0,0.0079196504430149,0.03448105517956824,0.09574468085106377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807799442896936,0.0,0.0
