population,pi
Anhui,0.00024151672503320854
Beijing,0.0002867203901463759
Chongqing,0.0002446907334328226
Fujian,0.00025761784003542243
Gansu,0.0002467443597741871
Guangdong,0.00019573904512495334
Guizhou,0.00027573159441291313
Hainan,0.00019321338002656685
Hebei,0.00025041470963969517
Heilongjiang,0.0003005541467079929
Henan,0.00024944914018104977
Hubei,0.00020764886244234484
Hunan,0.0002526636508039721
Jiangsu,0.0001776373013831208
Jilin,0.00016101115002213902
Liaoning,0.00024151672503320854
Ningxia,3.2202230004427804e-05
Shaanxi,0.00015393373683435268
Shandong,0.0002491839226533104
Shanghai,0.0001368594775188182
Shanxi,0.00012880892001771122
Sichuan,0.00025071031822721163
Tianjin,0.00018976314109752097
Xinjiang,0.00019321338002656685
Yunnan,0.00026009493465114765
Zhejiang,0.00023289112771059393
