pop1,pop2,metric,diff,ci_low,ci_high,p_value
Anhui,Beijing,pi,-4.520366511316735e-05,-0.0002609046956709326,0.00014730083724610939,0.7272727272727273
Anhui,Chongqing,pi,-3.17400839961406e-06,-0.00011527413961887093,0.00012416015574938608,1.0
Anhui,Fujian,pi,-1.610111500221389e-05,-0.00019827662840094578,0.0001358913387513597,0.8181818181818182
Anhui,Gansu,pi,-5.227634740978537e-06,-8.600699603273245e-05,0.00015492095554889908,1.0
Anhui,Guangdong,pi,4.5777679908255204e-05,-5.553957687112788e-05,0.0001594326093356475,0.5454545454545454
Anhui,Guizhou,pi,-3.421486937970459e-05,-0.00017191054210197876,0.00012573964497041427,0.7272727272727273
Anhui,Hainan,pi,4.830334500664169e-05,-0.00014916578527984748,0.0002938453487904038,0.8181818181818182
Anhui,Hebei,pi,-8.897984606486627e-06,-0.00018079954400161886,0.00013210329288987477,0.8181818181818182
Anhui,Heilongjiang,pi,-5.903742167478435e-05,-0.00021968583717481605,0.00015021326744664112,0.6363636363636364
Anhui,Henan,pi,-7.932415147841225e-06,-0.00014653782934612945,0.00014517163594501356,0.8181818181818182
Anhui,Hubei,pi,3.3867862590863707e-05,-6.188039226698219e-05,0.0001394828488424548,0.7272727272727273
Anhui,Hunan,pi,-1.1146925770763561e-05,-0.0002257444630776354,9.342052706380686e-05,0.8181818181818182
Anhui,Jiangsu,pi,6.387942365008775e-05,-2.826527773252176e-05,0.00020482980946430547,0.36363636363636365
Anhui,Jilin,pi,8.050557501106952e-05,-3.1201562091108564e-05,0.00028580135464011905,0.7272727272727273
Anhui,Liaoning,pi,0.0,-0.00014234814041565657,0.00018480342263701768,1.0
Anhui,Ningxia,pi,0.00020931449502878074,9.401035089650696e-05,0.00036232595351868495,0.5454545454545454
Anhui,Shaanxi,pi,8.758298819885586e-05,-3.288368987140982e-05,0.00023302382920786495,0.45454545454545453
Anhui,Shandong,pi,-7.667197620101862e-06,-0.00012756693957249548,0.00013707032545337103,1.0
Anhui,Shanghai,pi,0.00010465724751439036,-2.063329106024915e-06,0.00022556655798414046,0.45454545454545453
Anhui,Shanxi,pi,0.00011270780501549733,-1.6841404034415764e-05,0.00023346616753210163,0.6363636363636364
Anhui,Sichuan,pi,-9.193593194003092e-06,-0.00012122155994904344,0.00011490888939047893,1.0
Anhui,Tianjin,pi,5.175358393568757e-05,-9.712744328361214e-05,0.00018092190384184112,0.6363636363636364
Anhui,Xinjiang,pi,4.830334500664169e-05,-9.742644037662385e-05,0.00022581813790605005,0.6363636363636364
Anhui,Yunnan,pi,-1.8578209617939106e-05,-9.629237843501989e-05,9.17374862884126e-05,0.9090909090909091
Anhui,Zhejiang,pi,8.625597322614608e-06,-9.144789626702785e-05,0.00020119205754998536,0.9090909090909091
Beijing,Chongqing,pi,4.202965671355329e-05,-2.3926425612820382e-05,0.00015380681254695145,0.45454545454545453
Beijing,Fujian,pi,2.910255011095346e-05,-0.00010402608481297008,0.0002293360563787521,0.8181818181818182
Beijing,Gansu,pi,3.997603037218881e-05,-3.694279983521935e-05,0.000187835264548479,0.6363636363636364
Beijing,Guangdong,pi,9.098134502142255e-05,-5.0861137177658186e-06,0.0002489307306662717,0.45454545454545453
Beijing,Guizhou,pi,1.0988795733462761e-05,-9.940466770705093e-05,0.00010568972679905818,0.9090909090909091
Beijing,Hainan,pi,9.350701011980904e-05,-7.806819489059287e-05,0.00017882165224299222,0.8181818181818182
Beijing,Hebei,pi,3.630568050668072e-05,-8.18026735319555e-05,0.00015863091514968018,0.6363636363636364
Beijing,Heilongjiang,pi,-1.3833756561616999e-05,-0.00010063495539827797,0.00011958577088639034,0.9090909090909091
Beijing,Henan,pi,3.7271249965326124e-05,-4.134564376204969e-05,0.00012646388096390003,0.6363636363636364
Beijing,Hubei,pi,7.907152770403106e-05,-1.636951536256705e-05,0.00021507761826815205,0.45454545454545453
Beijing,Hunan,pi,3.405673934240379e-05,-0.00011145753546692246,0.00013492092438806822,0.8181818181818182
Beijing,Jiangsu,pi,0.0001090830887632551,1.901572191895683e-05,0.0002702914208722549,0.36363636363636365
