population,theta_w
Anhui,0.00019760459320898883
Beijing,0.00045777622559714786
Chongqing,0.0008355285766511598
Fujian,0.00021154749637945276
Gansu,0.0002815761532740428
Guangdong,0.00024576119482171306
Guizhou,0.0003093355170742131
Hainan,0.00015866062228458958
Hebei,0.00028932395851660026
Heilongjiang,0.0002774613519458519
Henan,0.0005035008248215939
Hubei,0.00030481806004895
Hunan,0.0003322790102408322
Jiangsu,0.00021019498719570488
Jilin,0.00013173639547265923
Liaoning,0.00020958062916104876
Ningxia,2.6443437047431595e-05
Shaanxi,0.0001708772879277411
Shandong,0.0004513752787700903
Shanghai,0.00012737344820702893
Shanxi,0.0001280590855134701
Sichuan,0.004788198319629709
Tianjin,0.00016300715601414903
Xinjiang,0.00015866062228458958
Yunnan,0.0002847954798795685
Zhejiang,0.00020958062916104876
