sample_id,hap_level_1,hap_level_2,hap_level_3,hap_level_4,hap_level_5,hap_level_6,hap_level_7,hap_level_8,hap_level_9,hap_level_10,hap_level_11,hap_level_12,hap_level_13,hap_level_14,hap_level_15,hap_level_16,hap_level_17,hap_level_18,hap_level_19,hap_level_20,hap_level_21,hap_level_22,hap_level_23
Han_Anhui4817,C,C2,C2a,C2a1,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a
Han_Anhui4946,C,C2,C2a,C2a1,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a,C2a1a
Han_Anhui4921,C,C2,C2a,C2a1,C2a1a,C2a1a1,C2a1a1b,C2a1a1b1,C2a1a1b1a,C2a1a1b1a2,C2a1a1b1a2a,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1,C2a1a1b1a2a1
Han_Anhui4869,C,C2,C2b,C2b1,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a
Han_Anhui4925,C,C2,C2b,C2b1,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a,C2b1a
Han_Anhui4877,C,C2,C2b,C2b1,C2b1a,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1,C2b1a1
Han_Anhui4968,C,C2,C2b,C2b1,C2b1a,C2b1a1,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a,C2b1a1a
Han_Anhui4894,C,C2,C2b,C2b1,C2b1a,C2b1a1,C2b1a1a,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1,C2b1a1a1
Han_Anhui4804,C,C2,C2b,C2b1,C2b1a,C2b1a2,C2b1a2a,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2
Han_Anhui4819,C,C2,C2b,C2b1,C2b1a,C2b1a2,C2b1a2a,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2,C2b1a2a2
