sample_id,population
Han_Anhui4817,Han_noNWC
Han_Anhui4946,Han_noNWC
Han_Anhui4921,Han_noNWC
Han_Anhui4869,Han_noNWC
Han_Anhui4925,Han_noNWC
Han_Anhui4877,Han_noNWC
Han_Anhui4968,Han_noNWC
Han_Anhui4894,Han_noNWC
Han_Anhui4804,Han_noNWC
Han_Anhui4819,Han_noNWC
Han_Anhui4830,Han_noNWC
Han_Anhui4849,Han_noNWC
Han_Anhui4955,Han_noNWC
Han_Anhui4884,Han_noNWC
Han_Anhui4802,Han_noNWC
Han_Anhui4954,Han_noNWC
Han_Anhui4960,Han_noNWC
Han_Anhui4987,Han_noNWC
Han_Anhui4857,Han_noNWC
Han_Anhui4905,Han_noNWC
Han_Anhui4980,Han_noNWC
Han_Anhui4847,Han_noNWC
Han_Anhui4864,Han_noNWC
Han_Anhui4825,Han_noNWC
Han_Anhui4813,Han_noNWC
Han_Anhui4957,Han_noNWC
Han_Anhui4840,Han_noNWC
Han_Anhui4931,Han_noNWC
Han_Anhui5002,Han_noNWC
Han_Anhui4808,Han_noNWC
Han_Anhui4887,Han_noNWC
Han_Anhui4816,Han_noNWC
Han_Anhui4927,Han_noNWC
Han_Anhui4935,Han_noNWC
Han_Anhui4939,Han_noNWC
Han_Anhui4962,Han_noNWC
Han_Anhui4974,Han_noNWC
Han_Anhui4961,Han_noNWC
Han_Anhui4859,Han_noNWC
Han_Anhui5016,Han_noNWC
Han_Anhui4972,Han_noNWC
Han_Anhui4826,Han_noNWC
Han_Anhui4795,Han_noNWC
Han_Anhui4807,Han_noNWC
Han_Anhui4902,Han_noNWC
Han_Anhui4914,Han_noNWC
Han_Anhui5009,Han_noNWC
Han_Anhui4792,Han_noNWC
Han_Anhui4860,Han_noNWC
Han_Anhui4842,Han_noNWC
Han_Anhui4846,Han_noNWC
Han_Anhui4929,Han_noNWC
Han_Anhui4951,Han_noNWC
Han_Anhui4793,Han_noNWC
Han_Anhui4810,Han_noNWC
Han_Anhui4821,Han_noNWC
Han_Anhui4867,Han_noNWC
Han_Anhui4982,Han_noNWC
Han_Anhui4835,Han_noNWC
Han_Anhui4843,Han_noNWC
Han_Anhui4809,Han_noNWC
Han_Anhui4938,Han_noNWC
Han_Anhui4936,Han_noNWC
Han_Anhui4796,Han_noNWC
Han_Anhui4895,Han_noNWC
Han_Anhui5012,Han_noNWC
Han_Anhui4833,Han_noNWC
Han_Anhui4922,Han_noNWC
Han_Anhui4834,Han_noNWC
Han_Anhui4852,Han_noNWC
Han_Anhui4953,Han_noNWC
Han_Anhui4989,Han_noNWC
Han_Anhui4942,Han_noNWC
Han_Anhui4801,Han_noNWC
Han_Anhui4912,Han_noNWC
Han_Anhui4952,Han_noNWC
Han_Anhui4919,Han_noNWC
