ID,Haplogroup,Population
Han_Anhui4817,C2a1a,Han_noNWC
Han_Anhui4946,C2a1a,Han_noNWC
Han_Anhui4921,C2a1a1b1a2a1,Han_noNWC
Han_Anhui4869,C2b1a,Han_noNWC
Han_Anhui4925,C2b1a,Han_noNWC
Han_Anhui4877,C2b1a1,Han_noNWC
Han_Anhui4968,C2b1a1a,Han_noNWC
Han_Anhui4894,C2b1a1a1,Han_noNWC
Han_Anhui4804,C2b1a2a2,Han_noNWC
Han_Anhui4819,C2b1a2a2,Han_noNWC
Han_Anhui4830,C2b1a2a2b1,Han_noNWC
Han_Anhui4849,C2b1a2a2b1,Han_noNWC
Han_Anhui4955,C2b1a2a2b1a,Han_noNWC
Han_Anhui4884,C2b1a2a2b1c,Han_noNWC
Han_Anhui4802,C2b1a2b2,Han_noNWC
Han_Anhui4954,C2b1b1b,Han_noNWC
Han_Anhui4960,C2b1b1b2a1,Han_noNWC
Han_Anhui4987,C2b1b1b5,Han_noNWC
Han_Anhui4857,D1a1a1a1,Han_noNWC
Han_Anhui4905,D1a1a1a1,Han_noNWC
Han_Anhui4980,D1a1a1a1,Han_noNWC
Han_Anhui4847,D1a1a1a1a1b2,Han_noNWC
Han_Anhui4864,N,Han_noNWC
Han_Anhui4825,N1a,Han_noNWC
Han_Anhui4813,N1a1a3,Han_noNWC
Han_Anhui4957,N1a2a1a2,Han_noNWC
Han_Anhui4840,N1b,Han_noNWC
Han_Anhui4931,N1b,Han_noNWC
Han_Anhui5002,N1b,Han_noNWC
Han_Anhui4808,N1b1a1b,Han_noNWC
Han_Anhui4887,N1b1a1b,Han_noNWC
Han_Anhui4816,N1b2,Han_noNWC
Han_Anhui4927,N1b2,Han_noNWC
Han_Anhui4935,N1b2,Han_noNWC
Han_Anhui4939,N1b2,Han_noNWC
Han_Anhui4962,N1b2,Han_noNWC
Han_Anhui4974,N1b2,Han_noNWC
Han_Anhui4961,N1b2a1,Han_noNWC
Han_Anhui4859,O1a1a1a,Han_noNWC
Han_Anhui5016,O1a1a1a,Han_noNWC
Han_Anhui4972,O1a1a1a1,Han_noNWC
Han_Anhui4826,O1a1a1a1a1a,Han_noNWC
Han_Anhui4795,O1a1a1a1a1a1,Han_noNWC
Han_Anhui4807,O1a1a1a1a1a1a,Han_noNWC
Han_Anhui4902,O1a1a1a1a1a1a,Han_noNWC
Han_Anhui4914,O1a1a1a1a1a1a,Han_noNWC
Han_Anhui5009,O1a1a1a1a1a1a,Han_noNWC
Han_Anhui4792,O1a1a1a1a1a1a11,Han_noNWC
Han_Anhui4860,O1a1a1a1a1a1a6,Han_noNWC
Han_Anhui4842,O1a1a1a1a1a1a7,Han_noNWC
Han_Anhui4846,O1a1a1a1a1a1a7,Han_noNWC
Han_Anhui4929,O1a1a1a1a1a1a8,Han_noNWC
Han_Anhui4951,O1a1a1a1a1a1a8,Han_noNWC
Han_Anhui4793,O1a1a1a1a1a1b,Han_noNWC
Han_Anhui4810,O1a1a1a1a1a1b1,Han_noNWC
Han_Anhui4821,O1a1a1a1a1a1b1,Han_noNWC
Han_Anhui4867,O1a1a1a1a1a1b1,Han_noNWC
Han_Anhui4982,O1a1a1a1a1a1b1,Han_noNWC
Han_Anhui4835,O1a1a1a1a1a1d,Han_noNWC
Han_Anhui4843,O1a1a1a1a1a1d,Han_noNWC
Han_Anhui4809,O1a1a1a1a1a1e1,Han_noNWC
Han_Anhui4938,O1a1a1a1a1a1e1,Han_noNWC
