"hap","total_n","n_pop","shannon_pop","evenness_pop","pop_detail","top_population","top_count"
"O",11206,8,0.770086873354061,0.370333504413864,"Han_NWCM:7217;Han_noNWC:3692;ANEA:195;ASEA:77;ANWC:11;AEES:9;ASAF:4;AESP:1","Han_NWCM",7217
"C",1866,8,0.928657515469665,0.446589864084117,"Han_NWCM:1238;Han_noNWC:480;ASEA:56;ANEA:43;AEES:38;AESP:5;ANWC:5;ASAF:1","Han_NWCM",1238
"N",1355,8,1.13315031180419,0.544930111807229,"Han_NWCM:845;Han_noNWC:297;ANEA:92;AESP:66;AEES:31;ANWC:12;ASEA:7;ASAF:5","Han_NWCM",845
"R",723,8,1.43634634968091,0.690736585227873,"Han_NWCM:364;AESP:153;ANWC:72;Han_noNWC:57;AEES:42;ASAF:31;ANEA:3;ASEA:1","Han_NWCM",364
"Q",700,7,1.00759023938865,0.517798953809765,"Han_NWCM:482;Han_noNWC:132;AEES:32;ANWC:22;AESP:17;ANEA:10;ASAF:5","Han_NWCM",482
"D",643,8,0.685320776238829,0.329569628432644,"Han_NWCM:525;Han_noNWC:63;ANEA:40;ASEA:7;AEES:3;ANWC:3;AESP:1;ASAF:1","Han_NWCM",525
"J",231,7,1.23493592197293,0.634631523234751,"Han_NWCM:147;ASAF:25;AESP:20;Han_noNWC:20;AEES:10;ANWC:7;ANEA:2","Han_NWCM",147
"E",54,6,1.17411427869419,0.655285655724782,"Han_NWCM:33;ASAF:10;AESP:5;Han_noNWC:4;AEES:1;ANWC:1","Han_NWCM",33
"G",39,6,1.27322920311782,0.71060274829543,"Han_NWCM:20;Han_noNWC:11;AESP:4;ASAF:2;ANEA:1;ANWC:1","Han_NWCM",20
"L",39,5,1.12097959689356,0.696503784478522,"Han_NWCM:18;ASAF:16;AESP:2;ANWC:2;Han_noNWC:1","Han_NWCM",18
"T",19,4,1.09086727857349,0.78689440653301,"Han_noNWC:11;Han_NWCM:4;ASAF:3;AESP:1","Han_noNWC",11
"H",16,4,1.10343290963819,0.79595859334435,"ASAF:9;Han_NWCM:4;AESP:2;Han_noNWC:1","ASAF",9
"F",15,6,1.52924829303769,0.853489722979691,"ANEA:6;Han_noNWC:4;ASEA:2;AEES:1;ASAF:1;Han_NWCM:1","ANEA",6
"I",14,5,1.47013192040884,0.913444320561224,"Han_NWCM:5;AESP:4;ASAF:2;Han_noNWC:2;ANWC:1","Han_NWCM",5
"K",13,4,1.09059947377948,0.786701226208884,"ANEA:7;AESP:4;ASAF:1;ASEA:1","ANEA",7
