"hap","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"C",0.964038428807928,-1.07518095058604,4.11658127219625,1.86052299242348,2.81392156112725
"C2",-0.115820864739106,-0.0110377375514536,0.119305783452711,0.166419856598844,0.0381936155343922
"D1",-0.0825612439878967,0.00622171043068603,0.234168723186367,0.0676356825127272,-0.382757848241957
"E1",1.98193108235406,1.09518815460261,-0.0822602544631233,-0.0320297475353913,-0.119194032170278
"F",0.636858967720449,0.390830929812017,2.73833722042481,0.68234020083592,0.179631759903219
"J1",2.13602672550018,-0.460679771607143,0.0537604964151097,0.334285349568425,-0.0875412277361035
"J2",1.65422488611944,0.591571631073603,-0.075928943600747,0.102284502165027,-0.0799419764257175
"N",1.48563712748419,-2.16202022638101,0.434484311929635,3.12332784237208,-0.350451065086681
"N1",0.0944406165192864,-0.200977524735633,0.240629749614009,-0.114777189164135,-0.160807243806669
"N2",2.59930224180202,-3.333832097589,-0.758411132386574,3.59075223359529,0.00779595763743576
"No",4.6910440535371,1.42021266810486,1.42862995145377,-0.664925121809139,0.495841030795737
"O1",-0.203428409080601,0.109270284148101,-0.0496794897877802,-0.0363841984952872,0.224393188140219
"O2",-0.183733927162786,0.0704084780104269,-0.0566689718520538,-0.0303278771887161,-0.0246574543668569
"Q1",0.148870593445151,-0.280750743856151,-0.0854661066304637,0.266888174748132,-0.166513312739913
"R1",1.51838981723759,-1.33289095212673,-0.174237753295222,-0.132488191370455,0.103233634815262
"G2",0.952529563246581,-0.0202144977080572,-0.00861405348380304,-0.422815373566152,0.120317810364935
"H",1.91437251992429,-1.7778766302899,0.355885083269262,-2.42486448632702,1.12069464295295
"H1",5.54893566547838,4.88242399448117,-0.117808952217453,0.282881284684939,-0.0499803332286618
"I2",3.35885291636434,-0.231945478562714,-0.0683530016045121,-1.12903944919804,0.432890511491273
"J",0.252540200822061,0.264632933582328,-0.0799927859077133,-0.00437321025439139,-0.378121504190029
"K2",1.95385222450664,-0.586425548899884,3.20289915370729,-1.36034171687388,-0.401096346984453
"L1",3.85293558750192,3.03258330484127,-0.307990232610112,0.399061826058174,-0.107736229039321
"Q",4.20396766198417,-3.75995396188806,1.08208120024373,-4.56351510491606,1.14535144459871
"R",1.91437251992429,-1.7778766302899,0.355885083269262,-2.42486448632702,1.12069464295295
"R2",3.15503849850147,2.04935290086869,0.0121491665372931,-0.339024741558069,-0.0265846960036582
"T1",3.67440166133072,2.69037798461208,-0.0114855958703448,-0.164689829890592,-0.100586288721998
"Q2",3.03023911272701,0.660885228430897,-1.28615454750424,1.38103107344804,0.11909832706693
"C1",0.0979192142932304,0.377336750913916,1.23257843839155,0.753343508110895,1.3836751533618
"H3",8.54819007211464,8.3896976102717,-0.287926322372825,0.998995068005787,0.0309891955606771
"F2",-0.113331146920572,0.0284712519924036,-0.0775467500220024,0.0622528154434919,-0.510752335264182
"G1",-0.21808773700658,0.0987630317187479,-0.194652463495283,-0.0771338578290926,0.131963735364369
"I1",-0.200628305325579,0.0870477350976905,-0.175134844583069,-0.0539027456169952,0.0248443902596102
"O",-0.375222622135592,0.204200701308264,-0.370311033705203,-0.286213867737969,1.09603784130719
"T",-0.375222622135592,0.204200701308264,-0.370311033705203,-0.286213867737969,1.09603784130719
