"population","hap","count","freq"
"Han_noNWC","O2",2590,0.542408376963351
"ANWC","R1",72,0.525547445255474
"Han_NWCM","O2",5713,0.52398422452536
"AESP","R1",143,0.501754385964912
"ANEA","O2",161,0.403508771929825
"ASEA","C2",46,0.304635761589404
"ASEA","O1",39,0.258278145695364
"ASEA","O2",38,0.251655629139073
"AEES","R1",42,0.251497005988024
"Han_noNWC","O1",1101,0.230575916230366
"ANEA","N1",89,0.223057644110276
"AEES","C2",37,0.221556886227545
"AESP","N1",60,0.210526315789474
"AEES","Q1",32,0.191616766467066
"ASAF","J2",19,0.163793103448276
"ASAF","R2",19,0.163793103448276
"AEES","N1",24,0.143712574850299
"Han_NWCM","O1",1504,0.13794368522425
"ASAF","L1",16,0.137931034482759
"ANWC","Q1",17,0.124087591240876
"Han_NWCM","C2",1222,0.112079244244703
"ANEA","C2",42,0.105263157894737
"ASAF","R1",12,0.103448275862069
"ANEA","D1",40,0.100250626566416
"Han_noNWC","C2",473,0.0990575916230367
"ASAF","E1",10,0.0862068965517241
"ANEA","O1",34,0.0852130325814536
"ANWC","O2",11,0.0802919708029197
"Han_NWCM","N1",844,0.0774098871870127
"ASAF","H1",8,0.0689655172413793
"Han_noNWC","N1",296,0.0619895287958115
"ANWC","N1",8,0.0583941605839416
"AESP","Q1",16,0.056140350877193
"Han_NWCM","D1",525,0.048151884802348
"ASEA","C1",7,0.0463576158940397
"ASEA","D1",7,0.0463576158940397
"Han_NWCM","Q1",476,0.0436577088874622
"ASAF","No",5,0.0431034482758621
"AESP","J2",12,0.0421052631578947
"AEES","O2",7,0.0419161676646707
"ASEA","N1",6,0.0397350993377483
"ANWC","C2",5,0.0364963503649635
"ANWC","J2",5,0.0364963503649635
"ANWC","Q2",5,0.0364963503649635
"ASAF","J1",4,0.0344827586206897
"ASAF","O1",4,0.0344827586206897
"ASAF","Q2",4,0.0344827586206897
"AESP","R2",9,0.0315789473684211
"Han_NWCM","R1",333,0.0305420526460607
"AEES","J1",5,0.029940119760479
"AEES","J2",5,0.029940119760479
"Han_noNWC","Q1",130,0.0272251308900524
"ASAF","T1",3,0.0258620689655172
"ANEA","Q1",10,0.025062656641604
"AESP","J1",7,0.0245614035087719
"AEES","N2",4,0.0239520958083832
"ANWC","D1",3,0.0218978102189781
"ANWC","N2",3,0.0218978102189781
"ASEA","C",3,0.0198675496688742
"AEES","D1",3,0.0179640718562874
"AESP","E1",5,0.0175438596491228
"AESP","No",5,0.0175438596491228
"ANEA","K2",7,0.0175438596491228
"ASAF","G2",2,0.0172413793103448
"ASAF","I2",2,0.0172413793103448
"ASAF","J",2,0.0172413793103448
"ANEA","F",6,0.0150375939849624
"ANWC","J1",2,0.0145985401459854
"ANWC","L1",2,0.0145985401459854
"AESP","C2",4,0.0140350877192982
"AESP","G2",4,0.0140350877192982
"AESP","I2",4,0.0140350877192982
"AESP","K2",4,0.0140350877192982
"ASEA","F",2,0.0132450331125828
"Han_noNWC","D1",63,0.0131937172774869
"AEES","N",2,0.0119760479041916
"AEES","O1",2,0.0119760479041916
"Han_noNWC","R1",53,0.0110994764397906
"ASAF","C1",1,0.00862068965517241
"ASAF","D1",1,0.00862068965517241
"ASAF","F",1,0.00862068965517241
"ASAF","H3",1,0.00862068965517241
"ASAF","K2",1,0.00862068965517241
"ASAF","Q1",1,0.00862068965517241
"ANEA","R1",3,0.0075187969924812
"ANWC","E1",1,0.0072992700729927
"ANWC","G2",1,0.0072992700729927
"ANWC","I2",1,0.0072992700729927
"ANWC","N",1,0.0072992700729927
"Han_NWCM","J2",77,0.0070622764376777
"AESP","L1",2,0.00701754385964912
"ASEA","K2",1,0.00662251655629139
"ASEA","No",1,0.00662251655629139
"ASEA","R1",1,0.00662251655629139
"AEES","C",1,0.00598802395209581
"AEES","E1",1,0.00598802395209581
"AEES","F",1,0.00598802395209581
"AEES","No",1,0.00598802395209581
"ANEA","J2",2,0.0050125313283208
"ANEA","No",2,0.0050125313283208
"Han_NWCM","J",51,0.0046776116665138
"Han_noNWC","J2",17,0.00356020942408377
"AESP","C",1,0.00350877192982456
"AESP","D1",1,0.00350877192982456
"AESP","H",1,0.00350877192982456
"AESP","H1",1,0.00350877192982456
"AESP","J",1,0.00350877192982456
"AESP","N2",1,0.00350877192982456
"AESP","O1",1,0.00350877192982456
"AESP","Q",1,0.00350877192982456
"AESP","R",1,0.00350877192982456
"AESP","T1",1,0.00350877192982456
"Han_NWCM","E1",33,0.00302668990186187
"Han_NWCM","R2",31,0.00284325415023388
"ANEA","C",1,0.0025062656641604
"ANEA","G2",1,0.0025062656641604
"ANEA","N",1,0.0025062656641604
"Han_noNWC","T",11,0.00230366492146597
"Han_noNWC","G2",9,0.0018848167539267
"Han_NWCM","J1",19,0.00174263964046593
"Han_NWCM","L1",18,0.00165092176465193
"Han_NWCM","G2",17,0.00155920388883793
"Han_NWCM","C1",16,0.00146748601302394
"Han_noNWC","C1",7,0.00146596858638743
"Han_noNWC","E1",4,0.000837696335078534
"Han_noNWC","F",4,0.000837696335078534
"Han_noNWC","J",3,0.0006282722513089
"Han_noNWC","R2",3,0.0006282722513089
"Han_NWCM","Q2",6,0.000550307254883977
"Han_noNWC","G1",2,0.000418848167539267
"Han_noNWC","Q2",2,0.000418848167539267
"Han_NWCM","H1",4,0.000366871503255985
"Han_NWCM","T1",4,0.000366871503255985
"Han_NWCM","G1",3,0.000275153627441988
"Han_NWCM","I2",3,0.000275153627441988
"Han_noNWC","H",1,0.000209424083769634
"Han_noNWC","I1",1,0.000209424083769634
"Han_noNWC","I2",1,0.000209424083769634
"Han_noNWC","L1",1,0.000209424083769634
"Han_noNWC","N",1,0.000209424083769634
"Han_noNWC","O",1,0.000209424083769634
"Han_noNWC","R",1,0.000209424083769634
"Han_NWCM","I1",2,0.000183435751627992
"Han_NWCM","F2",1,9.17178758139961e-05
"Han_NWCM","N2",1,9.17178758139961e-05
