"hap","population","a","b","c","d","p","odds","padj"
"R1a1","AESP",110,175,16270,NA,2.78576899529468e-96,27.0498660634356,2.2509013481981e-93
"O1a1","Han_noNWC",591,4184,11602,NA,8.09621794705246e-67,2.94726353803083,3.27087205060919e-64
"O2a2","AESP",0,285,11041,NA,6.21544412843247e-51,0,1.67402628525781e-48
"N1a1","AESP",59,226,16410,NA,1.83896230497725e-46,17.9879146656886,3.71470385605404e-44
"O1a1","Han_NWCM",546,10357,5429,NA,2.57570223219255e-33,0.476229868598195,4.16233480722317e-31
"R1a1","Han_noNWC",37,4738,11707,NA,1.65145332190524e-30,0.202711108602005,2.22395714016572e-28
"D1a1","Han_noNWC",63,4712,11588,NA,4.9941026157003e-30,0.27185700117996,5.76462130497977e-28
"R1a1","ANWC",39,98,16347,NA,3.67918204484242e-28,14.4791092996162,3.71597386529084e-26
"L1a2","ASAF",15,101,16807,NA,4.14917900312507e-27,246.613033664132,3.72504070502784e-25
"C2a1","AEES",35,132,16463,NA,6.8078878603535e-26,14.3921718371049,5.50077339116562e-24
"D1a1","Han_NWCM",524,10379,5921,NA,2.99443205470409e-25,2.74232889144433,2.1995464547281e-23
"O2a2","AEES",4,163,11163,NA,1.43531915328283e-23,0.0488953182930692,9.66448229877106e-22
"N1b1","ANEA",40,359,16345,NA,1.63457987076995e-23,9.6304737944009,1.01595425814009e-21
"O2a1","AESP",0,285,13933,NA,2.65728847352105e-22,0,1.53363506186072e-20
"R1b1","AESP",26,259,16556,NA,5.6496033674665e-22,18.0519802807919,3.04325301394196e-20
"O2a2","ASAF",0,116,11210,NA,8.2999531400862e-21,0,4.19147633574353e-19
"Q1b1","AEES",18,149,16710,NA,1.38165311356845e-20,35.9963730883521,6.56691597507828e-19
"R1b1","ANWC",18,119,16696,NA,2.77941823716081e-18,25.2173570245133,1.24764996423663e-16
"R2a2","ASAF",12,104,16786,NA,7.65337330786717e-17,62.3103914137164,3.25469770145088e-15
"N1a","Han_NWCM",0,10903,5995,NA,1.89563503312986e-16,0,7.65836553384462e-15
"H1a1","ASAF",8,108,16813,NA,1.83683560400303e-15,308.27293515219,7.06744365730691e-14
"N1b","Han_NWCM",0,10903,5998,NA,4.24241064812398e-15,0,1.55812172894735e-13
"R1b2","ANWC",11,126,16770,NA,4.62275817967529e-15,56.1954791923456,1.62399504746854e-13
"N1a","Han_noNWC",32,4743,12155,NA,5.98952261896715e-15,27.3313178756376,2.01647261505227e-13
"N1b","Han_noNWC",30,4745,12156,NA,7.92320069734149e-15,38.4206366192649,2.56077846538077e-13
"C2b1","ASEA",46,105,15360,NA,1.26361426263305e-14,4.731431996778,3.92692432387502e-13
"J2a1","ASAF",13,103,16743,NA,2.46000842584861e-14,28.5277441026643,7.36180299290992e-13
"R1a1","AEES",27,140,16305,NA,3.09778946759162e-13,6.81883111281925,8.93933532076439e-12
"O1a","ANEA",10,389,16526,NA,1.74537171957107e-12,53.0311126320709,4.86296672211526e-11
"E1b1","ASAF",10,106,16773,NA,2.85063909116565e-12,35.9062830217472,7.67772128553947e-11
"O2a2","ANWC",11,126,11200,NA,3.79186634791141e-12,0.174725403536395,9.88331615842715e-11
"O2a1","ANWC",0,137,14081,NA,7.2441233606949e-11,0,1.82914114857546e-09
"C2b1","AESP",1,284,15181,NA,2.08135291420605e-10,0.0364572135214007,5.0961610747833e-09
"N1a1","Han_noNWC",38,4737,11899,NA,2.50415714194514e-10,0.368576897082204,5.95105579615199e-09
"Q1b1","ANWC",10,127,16732,NA,3.99093801577407e-10,20.5679384230276,9.21336547641556e-09
"C2a1","Han_noNWC",47,4728,11867,NA,4.54260040776293e-10,0.405405871544627,1.01956142485346e-08
"No","ASAF",5,111,16813,NA,1.70528766815015e-09,188.319854719531,3.72397955639275e-08
"O2a1","AEES",3,164,14054,NA,1.87617031524653e-09,0.0948014562703786,3.98933056505052e-08
"O2a1","ASAF",0,116,14102,NA,2.25575857813879e-09,0,4.67346905419523e-08
"O1b1","AESP",1,284,15319,NA,2.58820452442855e-09,0.0406071688891824,5.22817313934567e-08
"K2b2","ANEA",7,392,16529,NA,2.73856306015668e-09,58.8946112065196,5.39697305513804e-08
"O2a1","ANEA",25,374,13844,NA,3.06419417510026e-09,0.344028295928069,5.76137577584918e-08
"O1a1","AESP",0,285,15501,NA,3.066078692593e-09,0,5.76137577584918e-08
"C1b1","ASEA",7,144,16761,NA,3.94659222453879e-09,38.7356191249057,7.21649932025568e-08
"O1a1","ANEA",3,396,15390,NA,4.01908996796418e-09,0.101921015719766,7.21649932025568e-08
"Q1b","AESP",6,279,16644,NA,4.28109888190816e-09,89.272056443041,7.51984325343867e-08
"R1b1","Han_NWCM",45,10858,5957,NA,9.56315396573148e-09,0.338217888032558,1.64404859666192e-07
"Q1b1","Han_noNWC",2,4773,12086,NA,1.42344009299755e-08,0.070342851045443,2.39612415654587e-07
"O2b","Han_noNWC",16,4759,12157,NA,1.96271930142308e-08,40.8647313994761,3.2364840725507e-07
"R2a","ASAF",4,112,16815,NA,3.10341362582266e-08,297.323194221999,5.01511641932942e-07
"N1a3","Han_noNWC",0,4775,12105,NA,3.40996865411796e-08,0,5.40246014221041e-07
"O1b1","Han_noNWC",458,4317,11286,NA,2.59118596944445e-07,1.37309240026986,3.95170939004221e-06
"R1b1","AEES",10,157,16658,NA,2.59208660485442e-07,9.82188952592363,3.95170939004221e-06
"R1","ANWC",4,133,16792,NA,2.7994011629494e-07,125.227875276688,4.12362485898201e-06
"O1a","Han_NWCM",1,10902,6013,NA,2.80692286193082e-07,0.0324490093502395,4.12362485898201e-06
"J1b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,4.44091446170393e-06
"R2b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,4.44091446170393e-06
"O2a1","Han_NWCM",1864,9039,5179,NA,3.43459200690476e-07,1.25497742383252,4.78474196823974e-06
"O2a2","Han_noNWC",1722,3053,8273,NA,3.73542843959117e-07,1.20106974142724,5.1156375918469e-06
"F","ANEA",6,393,16526,NA,4.21915262490896e-07,31.4986720779307,5.68179220154407e-06
"Q1a1","Han_NWCM",424,10479,5882,NA,4.76747814337989e-07,1.60804336559961,6.31495465549336e-06
"F","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,6.80711315190704e-06
"O2b","Han_NWCM",1,10902,6014,NA,7.46968361247139e-07,0.0344827602261786,9.58016564901092e-06
"T","Han_noNWC",11,4764,12158,NA,8.89281072933677e-07,Inf,1.12271735457877e-05
"N1b2","Han_noNWC",73,4702,11822,NA,1.15081358122172e-06,0.546267565783909,1.43054980558023e-05
"Q2b","ASAF",3,113,16816,NA,1.24685627983397e-06,441.164227847022,1.52645435470584e-05
"C2","Han_NWCM",0,10903,6017,NA,1.46880332064032e-06,0,1.77112468854893e-05
"N1","ANEA",4,395,16533,NA,1.49055048046197e-06,166.957830716884,1.77112468854893e-05
"O1b1","AEES",0,167,15436,NA,1.75202644385289e-06,0,2.05164835743933e-05
"Q2a","ANWC",3,134,16795,NA,2.06035811600919e-06,372.74306217195,2.37824193962203e-05
"R1a1","Han_NWCM",264,10639,5806,NA,2.38631715119266e-06,0.643170089459761,2.71569613825869e-05
