"population","hap","count","freq","class"
"AEES","C",1,0.00598802395209581,"Singleton"
"AEES","C2a",1,0.00598802395209581,"Singleton"
"AEES","C2a1",3,0.0179640718562874,"Rare"
"AEES","C2a1a",1,0.00598802395209581,"Singleton"
"AEES","C2a1a1",19,0.11377245508982,"Common"
"AEES","C2a1a2",4,0.0239520958083832,"Rare"
"AEES","C2a1a3",5,0.029940119760479,"Rare"
"AEES","C2a1b",3,0.0179640718562874,"Rare"
"AEES","C2b1b",1,0.00598802395209581,"Singleton"
"AEES","D1a1a1",2,0.0119760479041916,"Doubleton"
"AEES","D1a1b1",1,0.00598802395209581,"Singleton"
"AEES","E1b1b1",1,0.00598802395209581,"Singleton"
"AEES","F",1,0.00598802395209581,"Singleton"
"AEES","J1a",2,0.0119760479041916,"Doubleton"
"AEES","J1a2a1",3,0.0179640718562874,"Rare"
"AEES","J2a1a1",1,0.00598802395209581,"Singleton"
"AEES","J2a2a1",4,0.0239520958083832,"Rare"
"AEES","N",2,0.0119760479041916,"Doubleton"
"AEES","N1a1a",2,0.0119760479041916,"Doubleton"
"AEES","N1a1a1",7,0.0419161676646707,"Rare"
"AEES","N1a1a3",1,0.00598802395209581,"Singleton"
"AEES","N1a2",1,0.00598802395209581,"Singleton"
"AEES","N1a2a",9,0.0538922155688623,"Common"
"AEES","N1a2a1",2,0.0119760479041916,"Doubleton"
"AEES","N1b1",1,0.00598802395209581,"Singleton"
"AEES","N1b2",1,0.00598802395209581,"Singleton"
"AEES","N2",3,0.0179640718562874,"Rare"
"AEES","N2a",1,0.00598802395209581,"Singleton"
"AEES","No1",1,0.00598802395209581,"Singleton"
"AEES","O1a",2,0.0119760479041916,"Doubleton"
"AEES","O2a1b1",3,0.0179640718562874,"Rare"
"AEES","O2a2b1",3,0.0179640718562874,"Rare"
"AEES","O2a2b2",1,0.00598802395209581,"Singleton"
"AEES","Q1",1,0.00598802395209581,"Singleton"
"AEES","Q1a1a",6,0.0359281437125748,"Rare"
"AEES","Q1a1a1",4,0.0239520958083832,"Rare"
