ID	Haplogroup	netScore	matchScore	mismatchScore	mismatchLoci	backMutCnt	pruning	allMaxNetScore
HG00096	R1b1a2a1a2c1k1	12	12	0		0		R1b1a2a1a2c1k1[12-0]
HG00101	CF	7	7	0		0		CF[7-0]
HG00103	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00105	R1b1a2a1a2c1f	12	12	0		0		R1b1a2a1a2c1f[12-0]
HG00107	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00108	R1b1a2a1a1b	12	12	0		0		R1b1a2a1a1b[12-0]
HG00109	R1a1a1b1a3b	16	16	0		0		R1a1a1b1a3b[16-0]
HG00112	R1b1a2a1a2a1	12	12	0		0		R1b1a2a1a2a1[12-0]
HG00113	R1a1a1b1a3b1a	17	17	0		0		R1a1a1b1a3b1a[17-0]
HG00114	R1a1a1b1a3b1a	17	17	0		0		R1a1a1b1a3b1a[17-0]
HG00115	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00116	R1b1a2a1a2c1g2a1a2	14	14	0		0		R1b1a2a1a2c1g2a1a2[14-0]
HG00117	CF	7	7	0		0		CF[7-0]
HG00119	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00126	R1b1a2a1a2a1b1a1	13	13	0		0		R1b1a2a1a2a1b1a1[13-0]
HG00129	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00131	R1b1a2a1a1c2b1b	12	12	0		0		R1b1a2a1a1c2b1b[12-0]
HG00136	I2a2a1b2a2	14	14	0		0		I2a2a1b2a2[14-0]
HG00138	R1b1a2a1a2e	12	12	0		0		R1b1a2a1a2e[12-0]
HG00139	R1b1a2a1a2e	12	12	0		0		R1b1a2a1a2e[12-0]
HG00140	CF	7	7	0		0		CF[7-0]
HG00141	R1b1a2a1a2a1	12	12	0		0		R1b1a2a1a2a1[12-0]
HG00142	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00143	R1b1a2a1a1c2b2a1a1	16	16	0		0		R1b1a2a1a1c2b2a1a1[16-0]
HG00145	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00148	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00149	R1b1a2a1a1c2b2a1a1	16	16	0		0		R1b1a2a1a1c2b2a1a1[16-0]
HG00151	R1a1a1b1	14	14	0		0		R1a1a1b1[14-0]
HG00155	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00157	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00159	CF	7	7	0		0		CF[7-0]
HG00160	J2b2a	8	8	0		0		J2b2a[8-0]
HG00181	J1a2b3a	9	9	0		0		J1a2b3a[9-0]
HG00182	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00183	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00185	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00186	I1a1b3a1	9	9	0		0		I1a1b3a1[9-0]
HG00187	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00188	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00189	I1a1	8	8	0		0		I1a1[8-0]
HG00190	I1a1	8	8	0		0		I1a1[8-0]
HG00234	I1a2a1a1	9	9	0		0		I1a2a1a1[9-0]
HG00242	R1b1a2a1a2c1g2a1a	13	13	0		0		R1b1a2a1a2c1g2a1a[13-0]
HG00243	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00244	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00246	R1b1a2a1a2c1e	12	12	0		0		R1b1a2a1a2c1e[12-0]
HG00251	R1b1a2a1a1c2b2a1a1	16	16	0		0		R1b1a2a1a1c2b2a1a1[16-0]
HG00252	CF	7	7	0		0		CF[7-0]
HG00256	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00260	R1b1a2a1a1b	12	12	0		0		R1b1a2a1a1b[12-0]
HG00264	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00265	R1b1a2	11	11	0		0		R1b1a2[11-0]
HG00267	R1b1a2a1a1c2b2a1a1	16	16	0		0		R1b1a2a1a1c2b2a1a1[16-0]
HG00271	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00273	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00277	R1a1a1b1	14	14	0		0		R1a1a1b1[14-0]
HG00278	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00280	N1c1a1a1	10	10	0		0		N1c1a1a1[10-0]
HG00284	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00290	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00308	I1a1b3a1	9	9	0		0		I1a1b3a1[9-0]
HG00310	I1a2b	8	8	0		0		I1a2b[8-0]
HG00311	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00321	I1a1b3a1	9	9	0		0		I1a1b3a1[9-0]
HG00325	I1a1b3a1	9	9	0		0		I1a1b3a1[9-0]
HG00329	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00335	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00336	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00338	N1c1a1a2a1	12	12	0		0		N1c1a1a2a1[12-0]
HG00341	N1c1a1a1a	11	11	0		0		N1c1a1a1a[11-0]
HG00342	N1c1a1a1	10	10	0		0		N1c1a1a1[10-0]
