hGrp	HG00096
A1	1	362-92.3
A1a1	1	362-113.7
A1a	2	362-105.6
A2	6	362-119.4
A2_C64T	1	362-124.6
A2_C64T_G153A	1	372-124.6
A2_C64T_G16129A	1	362-127.2
A2_C64T_T16111C	1	372-124.6
A2_C64T_T16189C	1	362-126.6
A2a1	1	362-138.1
A2a2	1	362-143.9
A2a3	1	362-135.5
A2a4	2	362-141
A2a5	5	372-168.8
A2a	2	362-133.9
A2aa	2	362-130.2
A2ab	3	362-142.3
A2ac1	3	362-159.9
A2ac	3	362-146.4
A2ad1	5	372-177.5
A2ad2	2	362-163.5
A2ad	3	362-148.9
A2ae	4	363-148.3
A2af1	2	372-151.3
A2af1a1	1	372-164
A2af1a2	3	372-167.9
A2af1a	1	372-159.4
A2af1b1	3	372-185.6
A2af1b1a	5	382-207.4
A2af1b1b	2	372-195.5
A2af1b2	7	382-198
A2af1b	1	372-160.1
A2af2	7	372-176
A2af	4	372-135.2
A2ag	2	362-134.7
A2ah	2	362-144.6
A2ai	3	372-139.9
A2aj	5	372-158.6
A2ak	4	362-152
A2al	3	362-148.5
A2am	3	362-148.6
A2an	1	362-131.3
A2ao1	2	372-145.8
A2ao	1	372-133.4
A2ap	1	362-134.7
A2aq	6	362-164
A2b1	1	362-132.6
A2b	1	362-126.7
A2c	2	362-137.7
A2d1	2	362-140.7
A2d1a	2	362-152.7
A2d2	1	362-142.2
A2d	1	362-134.6
A2e	4	372-149.2
A2f1	5	362-164.7
A2f1a	3	362-182.6
A2f2	3	372-144.6
A2f3	6	362-168.5
A2f	1	362-130.9
A2g1	2	362-151.3
A2g	2	362-133.7
A2h1	4	362-156.7
A2h	1	362-130.4
A2i	10	382-181.8
A2j1	1	362-147.6
A2j	2	362-141.5
A2k1	1	362-137.6
A2k1a	1	362-145.7
A2k	1	362-133.4
A2l	1	372-131.6
A2m	4	372-155.3
A2n	3	372-148
A2o	1	372-132.7
A2p1	3	362-161.5
A2p2	5	362-160.8
A2p	1	362-137.2
A2q1	2	362-143.8
A2q	1	362-128.9
A2r1	2	362-147
A2r	1	362-129.4
A2s	10	362-188.2
A2t	4	362-154.1
A2u1	3	362-153.8
A2u2	1	362-135.1
A2u	1	362-130.4
A2v1	1	362-130.7
A2v1_T152C	1	363-130.7
A2v1a	1	363-137.7
A2v1b	1	363-134.6
A2v	1	362-129.7
A2w1	2	372-145.6
A2w	2	362-139.8
A2x	2	362-134.6
A2y	7	362-167.8
A2z	7	363-164
A3	3	362-113.3
A3a	1	362-123.3
A5	2	361-100.6
A5a1	1	371-128.9
A5a1a1	2	371-151.3
A5a1a1a	1	371-160.1
A5a1a1b	1	371-160.1
A5a1a2	1	371-147
A5a1a2a	1	371-155.1
A5a1a	1	371-137
A5a1b	1	371-138.9
A5a2	1	371-130.8
A5a3	1	371-129.6
A5a3a	1	371-139.6
A5a4	1	371-127.3
A5a5	1	371-129.6
A5a	4	371-120.8
A5b1	3	371-123.1
A5b1a	1	371-133.1
A5b1b	1	371-127
A5b1c1	3	372-139.8
A5b1c	1	371-130.7
A5b	2	371-106.1
A5c1	1	362-116.8
A5c	3	362-108.7
A6	3	362-115.8
A6a	1	362-125.8
A6b	5	362-149.9
A7	7	362-119.7
A8	1	361-89.1
A8a1	4	362-119.4
A8a	2	361-96.1
A9	5	362-129.4
A10	6	361-121.6
A11	2	362-93.1
A11_C16234T	1	362-97
A11a	4	372-112.8
A11b	2	362-109.1
A12	2	362-104
A12a	4	362-135.8
A13	1	362-98.4
A14	2	362-102.2
A15	4	362-118
A15a	1	362-124.3
A15b	3	362-141.9
A15c1	4	362-152.7
A15c	1	362-126.1
A16	6	372-114.5
A17	4	362-119.2
A18	1	362-93.1
A19	3	362-101.1
A20	1	362-94.6
A21	1	362-91.6
A22	4	362-116.5
A23	7	362-126.4
A24	3	362-111.4
A25	1	362-91.4
A26	7	362-133.8
A	8	361-83.3
A_T152C	1	362-83.3
A_T152C_T16362C	1	362-85.8
A_T152C_T16362C_A200G	1	362-90.3
A_T152C_T16362C_T16189C	1	362-87.8
B2	5	381-108.4
B2_C16278T	1	381-111.8
B2a1	1	381-131.8
B2a1a1	1	391-141.8
B2a1a	1	391-131.8
B2a1b	2	381-148.3
B2a2	1	381-133
B2a3	2	381-138.1
B2a4	1	381-128.3
B2a4a1	3	381-152.8
B2a4a	1	381-134.1
B2a5	5	381-155.8
B2a	2	381-123
B2b1	7	382-163.6
B2b2	1	381-119
B2b2a	7	381-169.4
B2b3	1	381-118.9
B2b3a	7	382-160.9
B2b4	9	391-175.3
B2b	1	381-115.1
B2b_T152C	1	382-115.1
B2c1	1	381-124.8
B2c1a	1	381-132.4
B2c1b	3	381-151.7
B2c1c	1	381-132.4
B2c2	3	381-137.8
B2c2a	2	381-150.4
B2c2b	4	382-160.3
B2c	1	381-117.2
B2d	5	381-144.5
B2e	2	381-127.2
B2f	4	381-141.9
B2g1	2	381-140.5
B2g2	3	381-149
B2g	3	381-124.7
B2h	2	381-126
B2i1	4	381-139.7
B2i2	3	381-142.2
B2i2a1	2	381-161.3
B2i2a1a	2	381-180.1
B2i2a1b	1	381-170.1
B2i2a	1	381-148.9
B2i2b1	2	381-155.1
B2i2b	1	381-145.6
B2i	1	381-116.5
B2j	6	381-152.2
B2k	2	381-120.2
B2l	1	381-118.4
B2m	3	381-124.6
B2n	2	381-125.1
B2o1	2	381-125.2
B2o1a	2	382-134
B2o	1	381-113.7
B2p	3	381-130.8
B2q	1	381-115.7
B2r	1	381-108.4
B2s	6	381-152.2
B2t	6	381-149.4
B2u	6	382-143.4
B2v	3	381-130.7
B2w	4	381-128.8
B2x	5	381-147.2
B2y1	1	381-120.7
B2y	1	381-112.6
B4	1	381-32.1
B4'5	1	381-25.1
B4_C16261T	1	381-36.3
B4a1	1	381-60.8
B4a1_T16311C	1	381-62.4
B4a1a1	2	381-108.4
B4a1a1_C151T	1	381-112.2
B4a1a1_T152C	1	382-108.4
B4a1a1_T16126C	1	381-113.5
B4a1a1a1	1	381-127.2
B4a1a1a1a1	1	381-141.5
B4a1a1a1a	1	381-134.2
B4a1a1a1b	1	381-133.3
B4a1a1a1c	2	381-139.3
B4a1a1a1d	2	382-133.5
B4a1a1a2	1	381-122
B4a1a1a2a	1	381-130.1
B4a1a1a2b	1	381-127.8
B4a1a1a3	1	381-122.6
B4a1a1a4	1	381-121.7
B4a1a1a5	2	381-129.5
B4a1a1a6	1	381-127.2
B4a1a1a7	2	381-130.4
B4a1a1a8	3	381-136.7
B4a1a1a9	2	391-124.5
B4a1a1a10	1	381-126
B4a1a1a11	1	381-127.2
B4a1a1a11a	1	381-134.8
B4a1a1a11b	1	391-127.2
B4a1a1a12	1	381-126
B4a1a1a13	1	381-124.2
B4a1a1a14	1	381-121.2
B4a1a1a15	1	381-122.4
B4a1a1a16	1	381-118.2
B4a1a1a17	1	381-127.2
B4a1a1a18	2	381-130.5
B4a1a1a19	1	381-124.8
B4a1a1a20	2	381-126.3
B4a1a1a21	1	381-122.7
B4a1a1a22	1	381-123.9
B4a1a1a23	1	381-129.2
B4a1a1a	1	381-117.2
B4a1a1a_T195C	1	381-119.2
B4a1a1aa	2	381-117.6
B4a1a1ab	1	381-116.5
B4a1a1ac	1	381-114.7
B4a1a1ad	2	381-119.6
B4a1a1ae	1	381-117.2
B4a1a1af	1	381-116
B4a1a1b	2	381-119.4
B4a1a1c	2	381-127.2
B4a1a1d	1	381-118.4
B4a1a1e	1	381-116
B4a1a1f	1	381-118.4
B4a1a1g	1	381-118.4
B4a1a1h	2	381-122.3
B4a1a1i	2	381-124.2
B4a1a1j	1	381-109.4
B4a1a1k1	2	381-130.8
B4a1a1k	1	381-113.2
B4a1a1m1	1	381-126.8
B4a1a1m	1	381-119.2
B4a1a1n	1	381-115.4
B4a1a1o	1	382-118.4
B4a1a1p	1	381-118.4
B4a1a1q	1	381-115.7
B4a1a1r	1	381-123.5
B4a1a1s	1	381-117.2
B4a1a1t	1	381-116.5
B4a1a1u	1	381-114.9
B4a1a1v	2	381-128.4
B4a1a1w	1	381-115.7
B4a1a1x	1	381-112.6
