hGrp	HG00096
R1b1a2a1a2c1f2c1a1	4	691-10
A0	35	1-30
R1b1a2a1a2c1f2c1a1b	2	691-12
A00	54	0-2
A0a	6	1-34
A0a1	16	1-41
A0a2	7	1-36
A0b	22	1-49
A1	15	13-0
A1a	17	13-15
A1b	44	45-0
A0-T	29	1-0
A1b1a1	15	45-1
R1b1a2a1a2c1f2c2	2	691-4
R1b1a2a1a2c1f2c1a1b1	1	691-13
R1b1a2a1a2c1f2d	2	691-4
R1b1a2a1a2c1f2d1	1	691-5
A1b1b2	9	45-2
R1b1a2a1a2c1f3a	1	691-2
R1b1a2a1a2b1a	1	687-2
R1b1a2a1a2c1f2c1a1b1b	1	691-14
B	1	381-1
B2	3	381-4
B2a	2	381-6
B2a1	1	381-7
B2a1a	2	381-9
R1b1a2a1a2c1f5	1	691-2
O2a1c1b	1	613-120
R1b1a2a1a2c1f5a1	1	691-3
R1b1a2a1a2c1f5a1a	1	691-4
B2b1a2	4	381-6
R1b1a2a1a2c1g	1	691-1
B3	11	381-9
BT	505	381-0
C	11	578-11
C1	1	578-12
C1a	1	578-13
C1a1	35	578-45
C1a1a	1	578-46
C1a1a1	18	578-58
C1a1a2	19	578-59
C1a2	182	578-15
R1b1a2a1a2c1g2	1	691-2
R1b1a2a1a2c1g2a	1	691-3
R1b1a2a1a2c1g2a1	1	691-4
R1b1a2a1a2c1g2a1a	2	691-5
C1b	2	578-14
R1b1a2a1a2c1g2a1a2	1	691-6
C1b1a	39	578-45
C1b1a1	1	578-46
C1b1a1a	107	578-114
C1b1a1a1	61	578-158
C1b1a1a1a	16	578-170
C1b1a1a1a1	34	578-194
C1b1a1a1a1a	9	578-200
C1b1a1a1a1a1	2	578-201
C1b1a1a1a1a1a	1	578-202
C1b1a1a1a1a1a1	4	578-203
R1b1a2a1a2c1g2a1a4	1	691-6
C1b1a1a1a1a1a1a1	1	578-204
C1b1a1b	1	578-47
C1b1a1b1	107	578-126
C1b1a2a	3	578-46
R1b1a2a1a2c1i	2	691-1
R1b1a2a1a2c1i4	1	691-2
C2	3	578-14
C2b	31	578-15
R1b1a2a1a2c1j	1	691-0
R1b1a2a1a2c1k	8	694-0
R1b1a2a1a2c1k1	6	698-0
C2b1a1b	13	578-17
R1b1a2a1a2c1k1a4	1	698-1
R1b1a2a1a2c1l1a1	1	691-1
C2e	1	578-15
C2e1	14	578-24
C2e1a	11	578-34
C2e1a1	6	578-40
C2e1a1a	22	578-59
R1b1a2a1a2c2	1	689-1
C2e1b1	13	578-35
C2e1b1a	4	578-38
R1b1a2a1a2e	1	687-1
C2e2	41	578-43
C2e2a	1	578-44
C2e2a1	73	578-92
R1b1a2a1a2e2	1	687-2
C2f	1	578-15
CF	3	578-0
CT	297	575-0
D	45	575-64
R1b1a2a1b	2	681-2
R1b1a2a1b1a	1	681-3
R1b1a2a2	9	680-7
R1b1a2a2a	1	680-8
R1b1a2a2c	1	680-8
R1b1a2a2c1	1	680-9
R1b1a2a2c1a	3	680-10
R1b1a2a2c1a1	1	680-11
R1b1a2a2c1a1a	1	680-12
R1b1a2a2c1a1a1	1	680-13
D1b1a2	2	575-73
D1b1a2a	1	575-74
D1b1a2b	1	575-74
D1b1a2b1	7	575-81
D1b1a2b1a	14	575-94
D1b1a2b1a1	3	575-96
D1b1a2b1a1a1	1	575-97
R2a	4	639-3
R2a1a	1	639-4
D1b1d1	40	575-100
D1b1d1a	108	575-167
D1b1d1a1	1	575-168
D1b1d1a1a	13	575-173
D1b1d1b	11	575-107
D1b2	45	575-98
D1b2a	37	575-123
D1b2a1	3	575-124
D1b2a2	6	575-127
DE	45	575-26
T/K1b	46	612-50
E1	13	575-135
T1a	30	612-76
T1a1	17	612-91
T1a1a	11	612-102
T1a1a1	1	612-103
T1a1a1a	1	612-104
T1a1a1a1	4	612-108
T1a1a1a1a	5	612-112
T1a1a1a1a1	1	612-113
E1a2	124	575-430
E1a2a	7	575-436
E1a2a1	2	575-437
E1a2a1a	4	575-441
E1a2a1a1	20	575-455
E1a2a1a1a	14	575-466
E1a2a1a2	7	575-448
E1a2a1b	17	575-450
E1a2a1b1	60	575-485
E1a2a1b1a	70	575-530
T1a2	2	612-78
E1a2a2	100	575-504
E1a2b	22	575-443
E1a2b1	17	575-456
E1a2b1a	6	575-459
E1a2b1a1	1	575-460
E1a2b1a1a1	85	575-518
T2	66	612-51
E1a2b1a2	83	575-520
E1b	1	575-136
E1b1	6	575-141
E1b1a	2	575-142
E1b1a1	40	575-180
E1b1a1a1	13	575-192
E1b1a1a1a	2	575-194
E1b1a1a1c	1	575-193
E1b1a1a1c1	1	575-194
E1b1a1a1c1a	4	575-198
E1b1a1a1c1a1	1	575-199
