"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"000-0810-0019"	"N"	"1"	"0.8833"	"1-16569"
"023-0000-1751"	"R"	"1"	"0.8599"	"1-16569"
"023-0000-4697"	"D1f"	"1"	"0.9405"	"1-16569"
"1000434"	"F1a1c"	"1"	"0.8967"	"1-16569"
"1000592"	"B4h"	"1"	"0.7749"	"1-16569"
"1000612"	"A14"	"1"	"0.9381"	"1-16569"
"1000753"	"C5a1"	"1"	"0.9520"	"1-16569"
"1000810"	"M12a1a1"	"1"	"0.9311"	"1-16569"
"1000907"	"B4m"	"1"	"0.8800"	"1-16569"
"1000917"	"D5a2a2"	"1"	"0.9675"	"1-16569"
"1001070"	"M7c1b"	"1"	"0.9153"	"1-16569"
"1001091"	"G2a1"	"1"	"0.9611"	"1-16569"
"1001099"	"Y1b1"	"1"	"0.9343"	"1-16569"
"1001194"	"F2p"	"1"	"0.7420"	"1-16569"
"1001738"	"D5b1b2"	"1"	"1.0000"	"1-16569"
"1001746"	"D5a2a1"	"1"	"0.9642"	"1-16569"
"1001969"	"F1a1"	"1"	"0.9490"	"1-16569"
"1002052"	"D5a2"	"1"	"0.9448"	"1-16569"
"1002259"	"G1a1a"	"1"	"0.9799"	"1-16569"
"1002448"	"D4c1"	"1"	"0.8713"	"1-16569"
"1002730"	"B4a1"	"1"	"0.9351"	"1-16569"
"1002806"	"F2i"	"1"	"1.0000"	"1-16569"
"1003028"	"M10a1a"	"1"	"0.9118"	"1-16569"
"1006061"	"D5b1b2"	"1"	"0.9781"	"1-16569"
"1006189"	"F3b5"	"1"	"0.9526"	"1-16569"
"1006194"	"N9a9"	"1"	"0.8953"	"1-16569"
"1006204"	"D4e1a"	"1"	"0.9478"	"1-16569"
"1006307"	"D4o2a"	"1"	"1.0000"	"1-16569"
"1006464"	"M7c1b2b"	"1"	"0.9314"	"1-16569"
"1006683"	"M8a2"	"1"	"0.9780"	"1-16569"
"1006739"	"F4a1b"	"1"	"0.9389"	"1-16569"
"1006749"	"D4"	"1"	"0.8914"	"1-16569"
"1006900"	"B4a1c1a"	"1"	"0.9158"	"1-16569"
"1006999"	"Z3d"	"1"	"0.9716"	"1-16569"
"1007120"	"D4a5"	"1"	"0.9329"	"1-16569"
"1007170"	"M8a3a1"	"1"	"1.0000"	"1-16569"
"1007607"	"R30a1"	"1"	"0.8560"	"1-16569"
"1007633"	"D4j5a"	"1"	"0.9642"	"1-16569"
"1007642"	"F3a1"	"1"	"0.9315"	"1-16569"
"1007647"	"D4b2b"	"1"	"0.9378"	"1-16569"
"1009658"	"M7c1c2"	"1"	"1.0000"	"1-16569"
"1009684"	"F2g"	"1"	"0.9457"	"1-16569"
"1009700"	"R11b1"	"1"	"0.8528"	"1-16569"
"1009704"	"A15a"	"1"	"0.9498"	"1-16569"
"1009782"	"D4"	"1"	"0.8965"	"1-16569"
"1009784"	"D5c2"	"1"	"0.9034"	"1-16569"
"1009796"	"B4a2b1"	"1"	"0.9617"	"1-16569"
"1009802"	"F2d"	"1"	"0.9377"	"1-16569"
"1009812"	"D5a2a1"	"1"	"0.9371"	"1-16569"
"10171809196077"	"M8a2"	"1"	"0.7726"	"1-16569"
"10181809195884"	"B4b1c2"	"1"	"0.8640"	"1-16569"
"1053180816471W"	"B4a5"	"1"	"0.8033"	"1-16569"
"10861809199391"	"R"	"1"	"0.7449"	"1-16569"
"10861811591143"	"Z3"	"1"	"0.6968"	"1-16569"
"111-1122-3363"	"N9a1"	"1"	"1.0000"	"1-16569"
"111-1141-4129"	"B4b1a2a"	"1"	"0.8915"	"1-16569"
"111-1142-0557"	"C7a"	"1"	"0.9636"	"1-16569"
"111-1142-7648"	"G1a1"	"1"	"0.9378"	"1-16569"
"111-1146-3400"	"F1a1"	"1"	"0.9196"	"1-16569"
"111-1148-8953"	"C7a"	"1"	"0.9677"	"1-16569"
"111-1153-2472"	"B4b1c2"	"1"	"0.9908"	"1-16569"
"111-1174-6848"	"M12b1a"	"1"	"0.9046"	"1-16569"
"111-1174-8668"	"F1a3b"	"1"	"0.9571"	"1-16569"
"111-1178-6141"	"F1a1"	"1"	"0.9258"	"1-16569"
"111-1201-7473"	"A_T152C_T16362C_A200G"	"1"	"0.9136"	"1-16569"
"111-1202-3757"	"G1a1a"	"1"	"0.9549"	"1-16569"
"111-1202-8745"	"G1a1a"	"1"	"0.9549"	"1-16569"
"111-1204-7609"	"F1c1a1"	"1"	"0.9751"	"1-16569"
"111-1204-8989"	"M11a"	"1"	"0.9064"	"1-16569"
"111-1206-1803"	"B4a2b1"	"1"	"0.9427"	"1-16569"
"111-1238-9600"	"B4c1b2c1"	"1"	"0.9807"	"1-16569"
"111-1265-1226"	"F3a1"	"1"	"0.9434"	"1-16569"
"111-1265-1394"	"F3a1"	"1"	"0.9434"	"1-16569"
"111-1266-8323"	"D4"	"1"	"0.9415"	"1-16569"
"111-1274-0982"	"B4c1b2c"	"1"	"0.9470"	"1-16569"
"111-1299-8864"	"B5b1"	"1"	"0.8331"	"1-16569"
"111-1307-0330"	"B4d1a"	"1"	"0.9160"	"1-16569"
"111-1313-7996"	"Z3"	"1"	"0.8647"	"1-16569"
"111-1349-6727"	"B4a1c4"	"1"	"0.9255"	"1-16569"
"111-1364-4159"	"G3a2d"	"1"	"0.9781"	"1-16569"
"111-1369-5472"	"G2b2d"	"1"	"1.0000"	"1-16569"
"111-1373-5222"	"D4g2a1"	"1"	"0.9143"	"1-16569"
"111-1374-6846"	"F4a"	"1"	"0.9109"	"1-16569"
"111-1382-4094"	"G2b1a2"	"1"	"0.9408"	"1-16569"
"111-1384-6591"	"G2b1a2"	"1"	"0.9408"	"1-16569"
"111-1392-6040"	"G2a1b"	"1"	"0.9502"	"1-16569"
"111-1393-9545"	"D5b1b2"	"1"	"0.9864"	"1-16569"
"111-1396-0686"	"D4g1b"	"1"	"0.9584"	"1-16569"
"111-1397-7479"	"G2a1b"	"1"	"0.9502"	"1-16569"
"111-1398-2596"	"B5a1c3"	"1"	"0.9807"	"1-16569"
"111-1402-8859"	"D5b1c1a"	"1"	"0.9512"	"1-16569"
"111-1404-7874"	"M10a1a1b4"	"1"	"0.9653"	"1-16569"
"111-1407-9714"	"Z3c"	"1"	"0.9639"	"1-16569"
"111-1408-3193"	"M10a1a1b4"	"1"	"0.9653"	"1-16569"
"111-1408-8242"	"M10a1a1b4"	"1"	"0.9653"	"1-16569"
"111-1411-7829"	"B4i1"	"1"	"0.9451"	"1-16569"
"111-1414-1183"	"A_T152C_T16362C"	"1"	"0.9612"	"1-16569"
"111-1414-2845"	"A14"	"1"	"0.8547"	"1-16569"
"111-1415-0819"	"C7d"	"1"	"0.9111"	"1-16569"
"111-1421-4849"	"A_T152C_T16362C"	"1"	"0.9612"	"1-16569"
"111-1425-2261"	"F2b1"	"1"	"0.9263"	"1-16569"
"111-1427-0548"	"F2b1"	"1"	"0.9263"	"1-16569"
"111-1428-8413"	"G2a4"	"1"	"0.9599"	"1-16569"
"111-1432-2155"	"B5b1"	"1"	"0.8636"	"1-16569"
"111-1435-9878"	"F1c1a"	"1"	"0.9030"	"1-16569"
"111-1439-3919"	"B4b1a2"	"1"	"0.9247"	"1-16569"
"111-1442-4811"	"Z3"	"1"	"1.0000"	"1-16569"
"111-1446-5524"	"F1a3"	"1"	"0.9517"	"1-16569"
"111-1448-2163"	"F1a1a"	"1"	"1.0000"	"1-16569"
"111-1455-3047"	"A13"	"1"	"0.8812"	"1-16569"
"111-1457-7494"	"C4a1a4"	"1"	"0.9399"	"1-16569"
"111-1458-2559"	"M10a1a1b4"	"1"	"0.9653"	"1-16569"
"111-1459-0974"	"B4i1"	"1"	"0.9052"	"1-16569"
"111-1462-0404"	"D5a2a1b"	"1"	"0.9653"	"1-16569"
"111-1462-0480"	"E1a"	"1"	"0.9321"	"1-16569"
"111-1462-2699"	"R11a"	"1"	"0.8472"	"1-16569"
"111-1466-3630"	"F1b1f"	"1"	"0.9866"	"1-16569"
"111-1466-6150"	"B4b1"	"1"	"0.8740"	"1-16569"
"111-1469-7253"	"Z3"	"1"	"1.0000"	"1-16569"
"111-1480-6396"	"R9b1a2a"	"1"	"0.9596"	"1-16569"
"111-1481-1130"	"D4a11"	"1"	"0.9243"	"1-16569"
"111-1488-4134"	"M76a"	"1"	"0.9815"	"1-16569"
"111-1492-0078"	"M12a1a1"	"1"	"0.9146"	"1-16569"
"111-1499-7124"	"M7b1a1e2"	"1"	"1.0000"	"1-16569"
"111-1504-7156"	"C4b1"	"1"	"0.9749"	"1-16569"
"111-1506-6010"	"B4a5"	"1"	"0.8269"	"1-16569"
"111-1507-2110"	"D4g2a1"	"1"	"0.9739"	"1-16569"
"111-1510-1995"	"B5b1"	"1"	"0.8828"	"1-16569"
"111-1518-7098"	"G2a2"	"1"	"0.9441"	"1-16569"
"111-1522-3949"	"D4b1d"	"1"	"0.9713"	"1-16569"
"111-1525-8125"	"M7c1b3"	"1"	"0.9291"	"1-16569"
"111-1554-1166"	"D5b1c2"	"1"	"0.9711"	"1-16569"
"111-1581-0507"	"D4b2b2a"	"1"	"0.9492"	"1-16569"
"111-1584-3765"	"G2a4"	"1"	"0.9286"	"1-16569"
"111-1585-2453"	"M8a3a"	"1"	"0.9782"	"1-16569"
"111-1587-1966"	"D4h1"	"1"	"0.9311"	"1-16569"
"111-1611-1207"	"G2a5"	"1"	"0.9246"	"1-16569"
"111-1613-9140"	"D4g2"	"1"	"0.9310"	"1-16569"
"111-1629-3484"	"D4b2b2a1"	"1"	"0.9643"	"1-16569"
"111-1631-5599"	"D4g2"	"1"	"0.9678"	"1-16569"
"111-1634-9358"	"B4a4"	"1"	"0.8225"	"1-16569"
"111-1641-0669"	"G2a2"	"1"	"0.9441"	"1-16569"
"111-1642-6264"	"D4j3"	"1"	"0.9364"	"1-16569"
"111-1648-9726"	"B5a1a"	"1"	"0.8571"	"1-16569"
"111-1649-3327"	"D4b2b"	"1"	"0.9610"	"1-16569"
"111-1649-8391"	"B4a1c"	"1"	"0.7788"	"1-16569"
"111-1651-0697"	"D4q"	"1"	"0.9707"	"1-16569"
"111-1651-6415"	"G2a4"	"1"	"0.8853"	"1-16569"
"111-1653-9353"	"A29"	"1"	"0.9388"	"1-16569"
"111-1678-3121"	"D5a2a1"	"1"	"0.9598"	"1-16569"
"111-1684-8790"	"F2d"	"1"	"0.9507"	"1-16569"
"111-1685-6092"	"A5a1a1"	"1"	"0.9530"	"1-16569"
"111-1687-1750"	"B5a1c1a1"	"1"	"0.9752"	"1-16569"
"111-1688-0004"	"F2k"	"1"	"0.9027"	"1-16569"
"111-1688-1216"	"M10a1a"	"1"	"0.9111"	"1-16569"
"111-1689-4087"	"D4h1b"	"1"	"0.9545"	"1-16569"
"111-1689-5190"	"D5a2c"	"1"	"0.9621"	"1-16569"
"111-1691-9155"	"D4a3b2"	"1"	"0.9549"	"1-16569"
"111-1692-1400"	"C5a1"	"1"	"0.9673"	"1-16569"
"111-1692-7198"	"F2k"	"1"	"0.9027"	"1-16569"
"111-1695-6891"	"C7a1"	"1"	"0.9392"	"1-16569"
"111-1696-5695"	"B4c1b2c2"	"1"	"0.9370"	"1-16569"
"111-1701-6495"	"G3a2_T152C"	"1"	"0.9566"	"1-16569"
"111-1703-7797"	"F1a1c"	"1"	"0.9966"	"1-16569"
"111-1714-4136"	"N9a1"	"1"	"0.9214"	"1-16569"
"111-1715-5972"	"G1a2'3"	"1"	"0.9463"	"1-16569"
"111-1717-8193"	"M7b1a1a3"	"1"	"0.9466"	"1-16569"
"111-1717-8247"	"D4b2b6"	"1"	"0.9569"	"1-16569"
"111-1718-9335"	"D4g2a1"	"1"	"0.9093"	"1-16569"
"111-1719-9266"	"N11a"	"1"	"0.9155"	"1-16569"
"111-1720-9309"	"A_T152C_T16362C"	"1"	"0.9586"	"1-16569"
"111-1721-2149"	"Y2"	"1"	"0.9206"	"1-16569"
"111-1721-7007"	"B4c1b2a1"	"1"	"0.9524"	"1-16569"
"111-1726-6777"	"R11d"	"1"	"0.9004"	"1-16569"
"111-1726-7279"	"N9a10"	"1"	"0.9613"	"1-16569"
"111-1727-4390"	"B4c1b2c1"	"1"	"0.9382"	"1-16569"
"111-1728-0247"	"M7c1"	"1"	"0.8927"	"1-16569"
"111-1729-9980"	"A5b1c1"	"1"	"0.9282"	"1-16569"
"111-1730-3540"	"D4a3a"	"1"	"0.9098"	"1-16569"
"111-1733-1918"	"G2a1"	"1"	"0.9145"	"1-16569"
"111-1739-2605"	"M7c1a3"	"1"	"0.9424"	"1-16569"
"111-1745-9377"	"M7b1a1"	"1"	"0.9561"	"1-16569"
"111-1756-3920"	"A15a"	"1"	"0.8852"	"1-16569"
"111-1759-0032"	"F1d"	"1"	"0.9073"	"1-16569"
"111-1759-3736"	"D4a3b"	"1"	"0.9890"	"1-16569"
"111-1762-1361"	"A15a"	"1"	"0.9487"	"1-16569"
"111-1763-2954"	"D4h1c"	"1"	"0.9021"	"1-16569"
"111-1767-4534"	"G2a1d2"	"1"	"0.9953"	"1-16569"
"111-1770-9816"	"A15a"	"1"	"0.9138"	"1-16569"
"111-1771-5749"	"F1a1"	"1"	"0.9264"	"1-16569"
"111-1773-2104"	"D4b2b"	"1"	"0.9324"	"1-16569"
"111-1773-7666"	"N9a1"	"1"	"0.9789"	"1-16569"
"111-1774-6637"	"A13"	"1"	"0.9412"	"1-16569"
"111-1775-2089"	"M9a4a"	"1"	"0.8876"	"1-16569"
"111-1776-9599"	"M7b1a1b"	"1"	"0.9763"	"1-16569"
"111-1778-1140"	"M7c1a"	"1"	"0.8918"	"1-16569"
"111-1778-6183"	"Z4"	"1"	"0.9466"	"1-16569"
"111-1784-8072"	"D5a2a1b"	"1"	"0.9358"	"1-16569"
"111-1785-2093"	"G2a1_T16189C!"	"1"	"0.9114"	"1-16569"
"111-1785-7555"	"A17"	"1"	"0.9366"	"1-16569"
"111-1788-2236"	"N9a3"	"1"	"0.9578"	"1-16569"
"111-1788-5770"	"A_T152C_T16362C"	"1"	"0.9298"	"1-16569"
"111-1789-9005"	"B4b1a2a"	"1"	"0.8997"	"1-16569"
"111-1791-2056"	"D4e1"	"1"	"0.9706"	"1-16569"
"111-1791-7082"	"B4d1'2'3"	"1"	"0.8755"	"1-16569"
"111-1791-8324"	"A_T152C_T16362C_A200G"	"1"	"0.9548"	"1-16569"
"111-1792-2017"	"A_T152C_T16362C_A200G"	"1"	"0.8893"	"1-16569"
"111-1792-3045"	"D5b1c1a"	"1"	"0.9316"	"1-16569"
"111-1793-9084"	"R11a"	"1"	"0.7743"	"1-16569"
"111-1794-5542"	"D4b2b2d"	"1"	"0.9523"	"1-16569"
"111-1794-6488"	"D4a3b2"	"1"	"0.9692"	"1-16569"
"111-1794-9922"	"D4a"	"1"	"0.9522"	"1-16569"
"111-1797-0865"	"B4b1a"	"1"	"0.8439"	"1-16569"
"111-1797-3200"	"G2a1"	"1"	"0.9228"	"1-16569"
"111-1797-7123"	"B4b1c1"	"1"	"0.9231"	"1-16569"
"111-1799-0399"	"R11a"	"1"	"0.7743"	"1-16569"
"111-1800-2411"	"D5b5"	"1"	"0.9631"	"1-16569"
"111-1805-7206"	"M10a1a"	"1"	"0.9072"	"1-16569"
"111-1810-8786"	"N9a3"	"1"	"0.9232"	"1-16569"
"111-1810-9233"	"H80"	"1"	"0.9734"	"1-16569"
"111-1812-5745"	"F4b1"	"1"	"0.9337"	"1-16569"
"111-1822-9214"	"M9a1b1d"	"1"	"0.9963"	"1-16569"
"111-1823-0630"	"D4g2a1"	"1"	"0.9214"	"1-16569"
"111-1825-3059"	"A6a"	"1"	"0.9733"	"1-16569"
"111-1827-2197"	"D4a"	"1"	"0.9684"	"1-16569"
"111-1832-8917"	"A5b1"	"1"	"0.8798"	"1-16569"
"111-1834-0773"	"F2k"	"1"	"0.9027"	"1-16569"
"111-1835-9669"	"C4a1a2"	"1"	"0.9335"	"1-16569"
"111-1836-3079"	"M8a3a"	"1"	"0.9673"	"1-16569"
"111-1837-2491"	"B5a1c1"	"1"	"0.9511"	"1-16569"
"111-1837-5089"	"B4d1a"	"1"	"0.9066"	"1-16569"
"111-1839-1478"	"B4d1'2'3"	"1"	"0.8120"	"1-16569"
"111-1840-5663"	"C5d"	"1"	"0.9054"	"1-16569"
"111-1841-5075"	"B5a2a1_G16129A"	"1"	"0.9340"	"1-16569"
"111-1841-7222"	"D4a1"	"1"	"0.9596"	"1-16569"
"111-1842-2400"	"D4q"	"1"	"0.9407"	"1-16569"
"111-1842-8488"	"D4b2b2"	"1"	"0.9178"	"1-16569"
"111-1842-9560"	"B5a1b1"	"1"	"1.0000"	"1-16569"
"111-1843-5561"	"F1a1"	"1"	"0.8895"	"1-16569"
"111-1843-8425"	"R9b1a3"	"1"	"0.8834"	"1-16569"
"111-1845-4500"	"D4b2b2"	"1"	"0.9178"	"1-16569"
"111-1845-5248"	"F1b1b"	"1"	"0.9234"	"1-16569"
"111-1846-2352"	"B4_C16261T"	"1"	"0.8985"	"1-16569"
"111-1846-7142"	"D5c1"	"1"	"0.9320"	"1-16569"
"111-1847-3891"	"B5b2a1"	"1"	"0.9396"	"1-16569"
"111-1847-4249"	"D4a1"	"1"	"1.0000"	"1-16569"
"111-1847-6267"	"D4o1"	"1"	"0.9507"	"1-16569"
"111-1848-1513"	"D4j_T16311C"	"1"	"0.9057"	"1-16569"
"111-1848-4002"	"D4j18"	"1"	"0.9843"	"1-16569"
"111-1848-8321"	"M7c1"	"1"	"0.9265"	"1-16569"
"111-1848-9632"	"N9a1"	"1"	"0.9129"	"1-16569"
"111-1848-9717"	"D4_T195C!"	"1"	"0.9554"	"1-16569"
"111-1849-4520"	"B5b2a1"	"1"	"0.9396"	"1-16569"
"111-1849-4759"	"D4b2b4"	"1"	"0.9963"	"1-16569"
"111-1849-9938"	"B5a1a"	"1"	"0.9484"	"1-16569"
"111-1850-2621"	"M8a2_T152C"	"1"	"0.9800"	"1-16569"
"111-1850-2690"	"M8a2_T152C"	"1"	"0.9800"	"1-16569"
"111-1850-3208"	"D5c1a"	"1"	"0.8878"	"1-16569"
"111-1850-3673"	"D4o1"	"1"	"0.9507"	"1-16569"
"111-1850-8234"	"M33c"	"1"	"0.9564"	"1-16569"
"111-1850-9484"	"F1c1a2"	"1"	"0.9713"	"1-16569"
"111-1851-3511"	"G1a1"	"1"	"0.9509"	"1-16569"
"111-1852-6368"	"A5"	"1"	"0.8689"	"1-16569"
"111-1852-7068"	"F2g"	"1"	"0.8899"	"1-16569"
"111-1853-6312"	"D4b2b"	"1"	"0.9255"	"1-16569"
"111-1853-8170"	"B5a1c1a1"	"1"	"0.9605"	"1-16569"
"111-1853-8750"	"M74b2"	"1"	"0.9804"	"1-16569"
"111-1855-0752"	"B4a4"	"1"	"0.7723"	"1-16569"
"111-1855-6518"	"H27a"	"1"	"0.8833"	"1-16569"
"111-1855-8918"	"M9a1a1c1a"	"1"	"0.9608"	"1-16569"
"111-1856-1154"	"D4c1b"	"1"	"0.9226"	"1-16569"
"111-1856-2441"	"F2a"	"1"	"0.9617"	"1-16569"
"111-1856-4667"	"F1c1a1c"	"1"	"0.9507"	"1-16569"
"111-1856-5305"	"D5b4"	"1"	"0.9218"	"1-16569"
"111-1857-8671"	"B4a5"	"1"	"1.0000"	"1-16569"
"111-1858-0377"	"F4a2"	"1"	"0.9612"	"1-16569"
"111-1858-6744"	"A15a"	"1"	"0.9322"	"1-16569"
"111-1858-8854"	"G1a1"	"1"	"0.9168"	"1-16569"
"111-1859-1601"	"D5a2b"	"1"	"0.9701"	"1-16569"
"111-1859-9720"	"B4b1"	"1"	"0.8117"	"1-16569"
"111-1860-0921"	"D4b2"	"1"	"0.8876"	"1-16569"
"111-1860-1324"	"R11c"	"1"	"0.8410"	"1-16569"
"111-1860-2192"	"C7a"	"1"	"0.9732"	"1-16569"
"111-1861-0487"	"M7c1a"	"1"	"0.8750"	"1-16569"
"111-1861-2764"	"F2f"	"1"	"0.9058"	"1-16569"
"111-1861-3020"	"M7b1a1"	"1"	"0.9622"	"1-16569"
"111-1861-5260"	"B5a2a1a"	"1"	"0.9406"	"1-16569"
"111-1861-7134"	"D4i2"	"1"	"0.9687"	"1-16569"
"111-1861-8001"	"N9a1a"	"1"	"0.9446"	"1-16569"
"111-1861-8445"	"M8a2a1"	"1"	"0.9924"	"1-16569"
