"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"Africa01"	"L0f"	"1"	"0.8856"	"16024-16569 1-576"
"Africa10"	"U6a2_T195C!"	"1"	"0.8896"	"16024-16569 1-576"
"Africa11"	"L1b1a2b"	"1"	"0.9550"	"16024-16569 1-576"
"Africa12"	"L0a1'4"	"1"	"0.9739"	"16024-16569 1-576"
"Africa13"	"L1b1a2b"	"1"	"0.9943"	"1-16569"
"Africa14"	"L5a1b"	"1"	"0.9590"	"1-16569"
"Africa15"	"L0a1b2"	"1"	"0.9881"	"1-16569"
"Africa02"	"L3e2b"	"1"	"1.0000"	"16024-16569 1-576"
"Africa03"	"L2d_G16129A!"	"1"	"0.9393"	"16024-16569 1-576"
"Africa04"	"L3e1a2"	"1"	"1.0000"	"16024-16569 1-576"
"Africa05"	"L0a1b1"	"1"	"0.9631"	"16024-16569 1-576"
"Africa06"	"L3b"	"1"	"1.0000"	"16024-16569 1-576"
"Africa07"	"L3f1b1a"	"1"	"0.9546"	"16024-16569 1-576"
"Africa08"	"L3e3"	"1"	"1.0000"	"16024-16569 1-576"
"Africa09"	"L4b2a2c"	"1"	"0.9884"	"16024-16569 1-576"
"Asia01"	"D4"	"1"	"0.9637"	"16024-576 2092 3552 4071 4491 4833 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia10"	"A5b1b"	"1"	"0.9216"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia11"	"F2"	"1"	"0.9838"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia12"	"F1a1"	"1"	"0.9854"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia13"	"A_T152C_T16362C"	"1"	"0.8099"	"16024-576 1119 1719 1736 3547 3970 4820 5417 8277 8281-8289 8392 9123 10310 10398 11914 12007 12338 12358 12705 12714 14502 15535"
"Asia14"	"G2a"	"1"	"0.9075"	"16024-576 2092 3552 4071 4491 4833 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
"Asia15"	"M7b1a1b"	"1"	"0.9846"	"16024-576 2092 3552 4071 4491 4833 4883 8414 8473 9090 9824 10397 10400 11959 11969 12372 12771 13563 14502 14569 15487"
