haplogroup	example_accession_1	example_accession_2
L0a1a	EU092665	EU092764
L0a1a_A200G	NA19311	EU092763
L0a1a1	EU092714	JQ044893
L0a1a2	JX303911	DQ304901
L0a1a3	JQ044943	
L0a1b1	KJ669116	AF381988
L0a1b1a	EU935434	NA19703
L0a1b1a1	EU092688	KC533498
L0a1b1a1a	NA19449	KJ669120
L0a1b2	DQ304897	
L0a1b2a	EU092746	EF657743
L0a1c	NA19440	
L0a1c1	EU092945	NA19467
L0a1d	EU092801	EU092809
L0a1e	JX303766	
L0a4	EU092906	
L0a2a1	HM771161	
L0a2a1a1	DQ112686	DQ112688
L0a2a1a2	EU092911	EU092868
L0a2a1b	JX303784	EU092861
L0a2a2	FJ157838	
L0a2a2a	EU092787	JX303763
L0a2a2a1	JX303835	KJ669122
L0a2a2a2	JX303786	KJ669113
L0a2b	EU597537	HM771190
L0a2b1	HM771200	HM771188
L0a2c	EF556174	
L0a2d	EU092913	D38112
L0a3	EU092900	NA19039
L0g	KJ669112	
L0b	EU092936	NA19031
L0f1	EU092870	NA19454
L0f2a	EU092964	
L0f2a1	AY963585	EU092668
L0f2b	EU092786	
L0k1a1	KC345899	EU092837
L0k1a1a	EU092966	KJ669107
L0k1a1b	KC346024	KJ669111
L0k1a1c	KC346108	AF347009
L0k1a1d	KC345966	KC346048
L0k1a2	EU092855	KC346083
L0k1a2a	KC346199	KJ669103
L0k1a3	KC346073	KC345982
L0k1b	JX303865	KC346241
L0k2a	KC346233	
L0k2a1	KC345922	
L0k2a1a	JX303895	JX303765
L0k2b	EU092792	KC346242
L0d1a	KC345791	
L0d1a1a	KJ669142	KC346226
L0d1a1a1	EU597514	KC345831
L0d1a1a2	KC346102	KJ669143
L0d1a1a3	EU092863	KC346227
L0d1a1b	EU092833	
L0d1a1b1a	KC345969	KC345775
L0d1a1b1b	KJ669141	KC533478
L0d1a1c	KC346092	KC533497
L0d1a1d	KJ669138	KC533487
L0d1d	KJ669137	
L0d1c	KC345764	
L0d1c1	KC345920	
L0d1c1a	KC346144	KC533490
L0d1c1a1	KC345933	
L0d1c1a1a	KC345934	EU092856
L0d1c1a1a1	KC345835	KC345860
L0d1c1a1a2	KC346231	KC346026
L0d1c1a1b	EU092832	KC346101
L0d1c1a2	KC345824	KC345854
L0d1c2	KC346238	KC346183
L0d1c2a	KC345852	
L0d1c2a1	KC346081	KC346015
L0d1c3	KC345944	EU092831
L0d1b1a	KC346074	
L0d1b1a1	KC345788	KC345918
L0d1b1b	KJ669135	
L0d1b1b1	KC346235	KC345768
L0d1b1_C152T	KC345780	
L0d1b1c	KC346236	KC346234
L0d1b2a1	KC346152	KJ669149
L0d1b2a2	JX303818	KC345902
L0d1b2b1a	KC345900	KC345949
L0d1b2b1b	KC345923	KC346138
L0d1b2b1b1	KJ669153	KJ669150
L0d1b2b2	KC345781	
L0d1b2b2a	KC345809	KJ669145
L0d1b2b2b	KC345977	
L0d1b2b2b1	KC346163	EU597502
L0d1b2b2c1	KC345901	KC346139
L0d1b2b2c2	KC345873	KC346093
L0d2a1	EU092700	KC533481
L0d2a1a	KC346211	KC533486
L0d2a1a1	KC346061	KC345989
L0d2a1a1a	KC345865	KC345993
L0d2a1a2	KJ669171	KJ669175
L0d2a1a3	KC346221	KJ669169
L0d2a1b	KC345990	KC533477
L0d2a1c	KC346197	KC346044
L0d2a2	KC345910	KC346240
L0d2b1a	KC346207	
L0d2b1a1	JX303903	
L0d2b1a1a	KC345848	KC345912
L0d2b1b	KC346147	KC346167
L0d2b2	EU092840	JX303788
L0d2d	KJ669167	KC345891
L0d2c1	EU092708	KC346104
L0d2c1a	KC346086	KJ669159
L0d2c1a1	KC346206	EU092845
L0d2c1b	KC346131	KC345892
L0d2c2	KC346146	KJ669161
L0d2c2a	KC346217	
L0d2c2a1	KJ669164	
L0d2c2a1a	KC346053	KC346052
L0d2c2b	KC346218	KJ669162
L0d3a	EU092921	EF184587
L0d3b	KC533475	
L0d3b1	EU092842	KC346229
L0d3b2	KC345931	KC346224
L1b1	DQ112737	
L1b1a	JN214480	
L1b1a4	JQ045107	NA20322
L1b1a4a	AY195783	JQ044792
L1b1a2	EU092672	
L1b1a2a	EU092775	EU092952
L1b1a_A189G	JN214471	
L1b1a3	DQ304908	JX303892
L1b1a3a	DQ304914	DQ304905
L1b1a3a1	DQ304906	JQ044875
L1b1a3b	JQ703036	DQ304907
L1b1a9	EU092737	JQ044876
L1b1a15	NA19462	
L1b1a15a	NA19198	JQ705587
L1b1a17	JQ704683	JQ045115
L1b1a18	JQ705606	NA18501
L1b1a5	NA20753	EU092928
L1b1a6	EU092716	JN214461
L1b1a7	DQ304923	
L1b1a7a	DQ282505	JQ704825
L1b1a8	JQ704968	JN214430
L1b1a10	JQ045100	JQ705832
L1b1a10a	EU092893	EU092884
L1b1a10b	EU092852	JX303846
L1b1a12a	FJ460537	JN214463
L1b1a12b	JQ705931	EU200764
L1b1a13	JN214477	FJ460522
L1b1a14	JQ045114	JN214468
L1b1a16	JN214460	EU092667
L1b2	NA19909	JQ044866
L1b2a	HM771162	JN214470
L1b3	JQ044936	JQ045038
L1c1a	JQ705275	
L1c1a1a1a	EU273490	HM771127
L1c1a1a1b	EU273481	EU273497
L1c1a1a1b1	EU273478	EU597501
L1c1a1a2	EU273500	EU273484
L1c1a1b	EU273491	
L1c1a2a1	HM771217	EU273496
L1c1a2a2	HM771180	HM771164
L1c1a2b	EU273476	HM771137
L1c1a2c	HM771114	HM771113
L1c1b	NA19917	
